sentence,emotion
Schweizer Selbstbestimmung: Die wichtigsten Fakten zu den internationalen Verträgen,Überraschung
Schweizer Selbstbestimmung: Die wichtigsten Fakten zu den internationalen Verträgen,Antizipation
Digitalisierung integrativ gestalten,Überraschung
Digitalisierung integrativ gestalten,Antizipation
Economiesuisse befindet das Rahmenabkommen für besser als behauptet,Antizipation
Bernische SVP schlägt der Bundesrats-Findungskommission Rösti vor,Keine
Nationalrat berät über Stiefkindadoption für Homosexuelle,Keine
Venezuelas Aussenminister kontert Vorwürfe aus Menschenrechtsrat,Traurigkeit
Die Welt verstädtert: Migranten treiben Urbanisierung voran,Antizipation
Das Hochrisiko Männlichkeit,Antizipation
Rheinau experimentiert mit dem Grundeinkommen,Antizipation
Verschärftes Gesetz gegen Obdachlose in Ungarn in Kraft getreten,Ärger
Verschärftes Gesetz gegen Obdachlose in Ungarn in Kraft getreten,Traurigkeit
Soll Cannabis legalisiert werden?,Antizipation
"Was stimmt am Vorwurf, dass westliche Konzerne die Ostmitteleuropäer ausbeuten?",Überraschung
"Was stimmt am Vorwurf, dass westliche Konzerne die Ostmitteleuropäer ausbeuten?",Antizipation
Die Islam-Organisationen müssen sich selber hinterfragen,Ärger
Die Islam-Organisationen müssen sich selber hinterfragen,Antizipation
Als die Winterthurer Firma Sulzer ein «Bombengeschäft» mit der Militärjunta abwickelte,Überraschung
Als die Winterthurer Firma Sulzer ein «Bombengeschäft» mit der Militärjunta abwickelte,Traurigkeit
Wenn Schweden Schweizer in Sachen Prostitution belehren,Ärger
Zürcher Regierung verlangt ein Verhüllungsverbot,Unklar
Warum sich Washington vor Huawei fürchtet,Antizipation
Kanada will CO2-Ausstoss durch Mindestpreis senken,Antizipation
Bundesrat drängt auf Reformen,Antizipation
Bundesrat drängt auf Reformen,Traurigkeit
SVP: Konkordanz mit Wahl von Parmelin wiederhergestellt,Antizipation
"Du isst, was du bist",Antizipation
Städte setzen Silicon-Valley-Angestellte auf Diät,Ärger
Eine gesunde Religionskritik relativiert den Wahrheitsanspruch von Religionen,Antizipation
«So stirbt man vor Langeweile»,Traurigkeit
«Nur Elternurlaub ist denkbar»,Ärger
SVP-Rückzug aus dem Bundesrat laut Brunner nicht im Vordergrund,Ärger
Bundespräsident Schneider-Ammann wirbt für «Modell Ambühl»,Vertrauen
Huawei will mit Influencern die Nummer 1 werden,Freude
Huawei will mit Influencern die Nummer 1 werden,Vertrauen
«Die Schweiz muss raus aus der Schockstarre»,Ärger
«Die Schweiz muss raus aus der Schockstarre»,Vertrauen
«Grosse Chance für Schweizer Wirtschaft»,Freude
«Grosse Chance für Schweizer Wirtschaft»,Vertrauen
Trump setzt Huawei auf eine schwarze Liste,Unklar
"Europa hat ein legitimes Recht auf Selbstschutz. Und doch reicht es nicht, gegen die unkontrollierte Migration aus dem Süden Mauern zu errichten – es braucht neue Tore",Unklar
UBS warnt vor Negativzinsen für Sparer,Ärger
«Time» kürt Frauen hinter #MeToo-Bewegung zur Person des Jahres,Unklar
St. Gallen beschliesst Verhüllungsverbot - mit Ausnahmen,Keine
St. Gallen beschliesst Verhüllungsverbot - mit Ausnahmen,Ärger
Die Hemmschwelle sinkt,Unklar
Die ideologischen Seiten des Klimawandels,Ärger
Kommts zum Atomkrieg zwischen den USA und Nordkorea?,Angst
"Ja zur «Ehe für alle», aber in Etappen",Freude
"Ja zur «Ehe für alle», aber in Etappen",Vertrauen
Wie Google in China Geschäfte machen will,Antizipation
Grundeinkommen in allen Kantonen wuchtig abgelehnt,Überraschung
Grundeinkommen in allen Kantonen wuchtig abgelehnt,Antizipation
Huawei bringt ein bisschen Jungfraujoch in den Süden Chinas,Antizipation
Huawei bringt ein bisschen Jungfraujoch in den Süden Chinas,Freude
Aus der Burkaverbots- wird die Anti-Hooligan-Initiative,Antizipation
Das Klagen gegen die Negativzinsen wird globaler und lauter,Ärger
Das Klagen gegen die Negativzinsen wird globaler und lauter,Antizipation
"Reines Gewissen, aber dreckiges Blut?",Ärger
Das neue CO2-Gesetz verliert an Biss,Antizipation
Das neue CO2-Gesetz verliert an Biss,Vertrauen
"Erst posten, dann motzen!",Ärger
"Erst posten, dann motzen!",Ekel
Der Bundesrat wagt den Neustart in der Europapolitik – an den roten Linien hält er aber fest,Antizipation
Der Bundesrat wagt den Neustart in der Europapolitik – an den roten Linien hält er aber fest,Vertrauen
Ein Picks gibt zu denken,Freude
Ein Picks gibt zu denken,Vertrauen
Falsch verstandene Tierliebe,Ärger
Falsch verstandene Tierliebe,Ekel
Travail.Suisse macht beim Vaterschaftsurlaub Druck auf Kommission,Antizipation
Travail.Suisse macht beim Vaterschaftsurlaub Druck auf Kommission,Freude
Krieg in der Grauzone: Gegen das Zündeln am Golf hilft nur noch ein klares Signal der Abschreckung,Angst
Künstliche Intelligenz rentiert,Antizipation
Sterbehilfe aus «selbstsüchtigen Beweggründen»?,Überraschung
Sterbehilfe aus «selbstsüchtigen Beweggründen»?,Traurigkeit
Burkagegner kritisiert kantonalen Gesetzeswildwuchs,Antizipation
Burkagegner kritisiert kantonalen Gesetzeswildwuchs,Vertrauen
Jetzt nimmt sich die Politik der Cyberwährungen an,Antizipation
Jetzt nimmt sich die Politik der Cyberwährungen an,Vertrauen
"Das CO2-Gesetz leistet einiges, doch nicht alles",Antizipation
"Das CO2-Gesetz leistet einiges, doch nicht alles",Vertrauen
Wie «klein» ist Brians Verwahrung wirklich?,Vertrauen
Spaniens Fussballerinnen kämpfen für einen Mindestlohn und streiken,Überraschung
Spaniens Fussballerinnen kämpfen für einen Mindestlohn und streiken,Ärger
Spaniens Fussballerinnen kämpfen für einen Mindestlohn und streiken,Antizipation
Deshalb darf Scharapowa doch noch von Rio träumen,Antizipation
Deshalb darf Scharapowa doch noch von Rio träumen,Vertrauen
US-Justizministerium wirft Fergusons Polizei Rassismus vor,Ärger
US-Justizministerium wirft Fergusons Polizei Rassismus vor,Ekel
«Wir dürfen nicht vor der Angst kapitulieren»,Ärger
«Wir dürfen nicht vor der Angst kapitulieren»,Antizipation
«Wir dürfen nicht vor der Angst kapitulieren»,Vertrauen
Richter wehren sich gegen höhere Mindeststrafen für Sexualdelikte,Antizipation
Richter wehren sich gegen höhere Mindeststrafen für Sexualdelikte,Vertrauen
Wer rettet unsere Privatsphäre?,Ärger
Wer rettet unsere Privatsphäre?,Antizipation
Wer rettet unsere Privatsphäre?,Angst
Bei Kantonalbanken sind Kader-Frauen rar,Antizipation
Bundesrat setzt neue Instrumente zur Kulturförderung in Kraft,Antizipation
Bundesrat setzt neue Instrumente zur Kulturförderung in Kraft,Freude
Ist der Vegan-Boom schon vorbei?,Antizipation
Testosteron-geladene Männer können öfter und länger,Angst
Weniger als 2 Prozent der Proben sind positiv – wie schmutzig ist die Leichtathletik aber wirklich?,Antizipation
Schleichend in die totale Überwachung,Angst
China zitiert Botschafter Kanadas nach Huawei-Festnahme zu sich,Ärger
Mit unserer Lehre zeigen wir der Welt den Meister,Unklar
Emotional bereits ausgestiegen,Antizipation
Bundesrat eröffnet Vernehmlassung zur künftigen Klimapolitik,Antizipation
Bundesrat eröffnet Vernehmlassung zur künftigen Klimapolitik,Vertrauen
Auch Schweden hinkt beim Klimaschutz seinen guten Vorsätzen hinterher,Überraschung
Australien will CO2-Emissionen nur bescheiden senken,Überraschung
Australien will CO2-Emissionen nur bescheiden senken,Vertrauen
«Wir müssen die Plastikflut rasch reduzieren»,Antizipation
Multikulti führt zu Abkapselung,Überraschung
Multikulti führt zu Abkapselung,Antizipation
Schwule und Lesben dürfen Stiefkinder adoptieren,Antizipation
Schwule und Lesben dürfen Stiefkinder adoptieren,Vertrauen
Auf dem Weg nach oben wird die Luft für Frauen dünn,Vertrauen
"China steht vor der CO2-Wende, und die Städte spielen dabei eine Schlüsselrolle",Antizipation
Google lässt französische Datenschützer auflaufen,Ärger
Ein buntes Völkchen,Freude
Zuwanderung nimmt leicht zu – aber nicht wegen der EU-Bürger,Antizipation
Google startet Geo-Tagebuch,Überraschung
Google startet Geo-Tagebuch,Freude
UBS startet Hotline für Opfer von sexueller Belästigung,Vertrauen
Datenschutz heisst Schutz der Privatsphäre,Antizipation
Jemen-Krieg lässt Benzin-Preis steigen,Angst
Weshalb der Verzicht auf die lebenslange Verwahrung des Mörders von Marie richtig ist,Überraschung
Weshalb der Verzicht auf die lebenslange Verwahrung des Mörders von Marie richtig ist,Traurigkeit
Weshalb der Verzicht auf die lebenslange Verwahrung des Mörders von Marie richtig ist,Angst
Zürich: Alt-Kantonsrat fordert Pilotversuch für ein bedingungsloses Grundeinkommen,Freude
Wenn die Zelle zur Zuflucht wird – ein Foto-Tableau von Shiho Fukada,Traurigkeit
Googles China-Pläne sorgen für Widerstand unter den Mitarbeitern,Überraschung
Immer wieder Fehler bei der lebenslangen Verwahrung,Ekel
Immer wieder Fehler bei der lebenslangen Verwahrung,Traurigkeit
Menschenrechtsgericht berät über Sterbehilfe für Koma-Patienten,Traurigkeit
Seit Tagen toben in Italien Unwetter. Schuld sind «abgeschnittene» Tiefs,Angst
Nun hat die AHV für kurze Zeit wieder Luft – macht die Politik trotzdem vorwärts?,Unklar
Exodus von EU-Bürgern,Antizipation
Zwei Tote bei Streit zwischen Häftlingen in Griechenland,Traurigkeit
Auch bei Google wird die Privatsphäre neuerdings grossgeschrieben,Überraschung
Auch bei Google wird die Privatsphäre neuerdings grossgeschrieben,Freude
Bricht gleich der Krieg aus? Gender-Studies auf metaphorischen Abwegen,Traurigkeit
Die coolste Handy-Neuheit kommt aus China,Freude
Mildere Sanktionen für Konzerne beschlossen,Unklar
Ausschreitungen im Flüchtlingslager Moria auf Lesbos,Unklar
Warum gibts die 4-Tage-Woche nicht bei uns?,Antizipation
Eine neue Mikrosteuer soll alle anderen Steuern ersetzen,Antizipation
Vierfachmord von Rupperswil: Kurz vor Prozessbeginn sorgt ein Psychiater für Irritation,Überraschung
Vierfachmord von Rupperswil: Kurz vor Prozessbeginn sorgt ein Psychiater für Irritation,Antizipation
Die SVP hat sich doppelt verzockt!,Ärger
Die SVP hat sich doppelt verzockt!,Antizipation
"Mieten, kaufen, beten – Kirchen wechseln Besitzer",Überraschung
"Mieten, kaufen, beten – Kirchen wechseln Besitzer",Freude
Bundesrat will Gebühren für Telefonüberwachung erhöhen,Antizipation
Bundesrat will Gebühren für Telefonüberwachung erhöhen,Vertrauen
Die SVP verliert deutlich mehr als erwartet – bleibt aber stärkste Partei,Unklar
Wolff erntet Kritik nach Massnahmen gegen Racial Profiling,Vertrauen
Wie der digitale Wandel die Steuerwelt aufmischt,Antizipation
Grossbritannien erlaubt erstmals Genmanipulation an Embryos,Antizipation
Könnten die Verfassungsrichter die «Ehe für alle» zu Fall bringen?,Antizipation
FDP will nicht mit der SVP zusammenspannen,Überraschung
FDP will nicht mit der SVP zusammenspannen,Antizipation
Wendet sich die Stimmung gegen den Computerspielsektor?,Angst
Auf in den Kassenkampf!,Antizipation
EU-Staaten müssen Versprechen in Flüchtlingskrise einlösen,Antizipation
"Migration und der Sozialstaat sind keine Gegensätze, aber manchmal braucht es Ventilklauseln",Überraschung
So sollten linke Initiativen aussehen,Antizipation
Wenn ein Helikopter in den Gefängnishof fliegt,Traurigkeit
Wenn ein Helikopter in den Gefängnishof fliegt,Angst
Wie die Schweiz über Jahre radioaktives Material im Meer entsorgte,Antizipation
Bund senkt Preise von rund 100 Medikamenten,Ärger
Bund senkt Preise von rund 100 Medikamenten,Antizipation
Jetzt gibts die Visite bei Dr. Google,Antizipation
Jetzt gibts die Visite bei Dr. Google,Vertrauen
Hooligans aus dem Ausland wollen Krawall machen,Antizipation
Hooligans aus dem Ausland wollen Krawall machen,Angst
«Das ist eher gaga»,Antizipation
Wenn die Ausnahme zum Normalfall wird,Unklar
Kein Gratis-Lunch bei Google und Co.: Die Nutzer zahlen indirekt,Antizipation
"Klimasünder zahlen, Klimaschützer kassieren",Freude
"Klimasünder zahlen, Klimaschützer kassieren",Vertrauen
Wird eine Zwischenlösung im Haushaltsstreit erreicht?,Unklar
Alles anders – oder doch nicht,Antizipation
Klimawandel – die drei Hebel eines Kleinstaats,Überraschung
Klimawandel – die drei Hebel eines Kleinstaats,Antizipation
Platzt Matthews-Transfer wegen Migrationsamt?,Unklar
Die Schweiz sollte ihre Stimme einbringen,Antizipation
Russland jubelt über Doping-Sieg,Traurigkeit
Digitalisierung als Chance für Afrika,Unklar
Staat hinter Gittern – ein Foto-Tableau von Oscar B. Castillo,Überraschung
Staat hinter Gittern – ein Foto-Tableau von Oscar B. Castillo,Traurigkeit
Deutschland kritisiert Schweizer Informationspolitik zu Atommüll,Antizipation
Deutschland kritisiert Schweizer Informationspolitik zu Atommüll,Angst
120'000 gültige Unterschriften für Konzernverantwortungsinitiative,Vertrauen
"Millionen Impfdosen werden auf dem Weg in abgelegene Regionen wirkungslos, weil die Kühlkette unterbrochen wird. Diese ETH-Forscher haben die Lösung",Antizipation
"Millionen Impfdosen werden auf dem Weg in abgelegene Regionen wirkungslos, weil die Kühlkette unterbrochen wird. Diese ETH-Forscher haben die Lösung",Freude
«Computer machen weniger Fehler als Zöllner»,Antizipation
«Computer machen weniger Fehler als Zöllner»,Vertrauen
Die moralische Klimaerwärmung,Ekel
Ständerat gegen längere Ladenöffnungszeiten,Ärger
Ständerat gegen längere Ladenöffnungszeiten,Antizipation
Testosteron könnte depressive Symptome lindern,Antizipation
Alle zehn Sekunden verhungert ein Kind,Traurigkeit
Strafe gegen Sexisten-Rapper verschärft,Ärger
Strafe gegen Sexisten-Rapper verschärft,Antizipation
Wie sicher ist das Gefängnis Limmattal?,Ärger
Wie sicher ist das Gefängnis Limmattal?,Antizipation
Erpressung mit Sexbildern: Internet-Unhold wird milder bestraft,Traurigkeit
Klimaschutz würde wenigstens die grossen Gletscher noch retten,Traurigkeit
Hansjörg Wyss will Anti-SVP-Plakate finanzieren,Überraschung
Hansjörg Wyss will Anti-SVP-Plakate finanzieren,Freude
UBS erwägt Weitergabe von Negativzinsen an Privatkunden,Antizipation
Renzi gewinnt Vertrauensvotum im Parlament zu Homo-Partnerschaften,Antizipation
Renzi gewinnt Vertrauensvotum im Parlament zu Homo-Partnerschaften,Vertrauen
San Francisco verbietet die Gesichtserkennung – und schiebt der Überwachung damit den Riegel vor,Unklar
"«Während sich die Politiker Zeit nehmen, sind die Bürger den Risiken der Digitalisierung ausgesetzt, die jeden Tag zunehmen»",Angst
Facebook killt künstliche Intelligenz,Überraschung
Der Mörder von Rupperswil wird ordentlich verwahrt. Was heisst das? Eine Erklärung,Überraschung
Pauschaltarife wie das GA und die Autobahnvignette gehören abgeschafft,Überraschung
Pauschaltarife wie das GA und die Autobahnvignette gehören abgeschafft,Antizipation
Tausende in USA demonstrieren für höheren Mindestlohn,Unklar
Kanton Bern lockert Verhältnis zwischen Kirche und Staat,Unklar
Künstliche Intelligenz als Schmiermittel für die Suchmaschine,Antizipation
Künstliche Intelligenz als Schmiermittel für die Suchmaschine,Vertrauen
Politiker wollen Negativzinsen für Kleinanleger verbieten – das ist verfehlt und heuchlerisch,Überraschung
Die Zürcher SVP ist eine Wundertüte,Überraschung
Die Zürcher SVP ist eine Wundertüte,Antizipation
Schweden bereitet Bürger auf Krieg vor,Unklar
UNO fordert von Irland Änderung des Abtreibungsgesetzes,Traurigkeit
Darum betrügen wir in Tests,Überraschung
«So rettet man kein einziges Tier»,Überraschung
«So rettet man kein einziges Tier»,Antizipation
EU erreicht bei Verteilung von Flüchtlingen Ziel noch nicht,Antizipation
Verwahrung von Solothurner Kathedralen-Brandstifter wird aufgehoben,Überraschung
Verwahrung von Solothurner Kathedralen-Brandstifter wird aufgehoben,Antizipation
SNB-Vize Zurbrügg: Negativzinsen bleiben wichtig für Geldpolitik,Keine
Sprachlosigkeit zwischen Kirchen und Unternehmen,Antizipation
Das Flüchtlingslager Moria wird zur politischen Affäre,Traurigkeit
Milieu-Anwalt liebäugelt mit SVP,Unklar
Uno-Länder einigen sich auf Abkommen zur Massenmigration,Überraschung
Uno-Länder einigen sich auf Abkommen zur Massenmigration,Antizipation
Hitzesommer läutet Klimawandel im Bundeshaus ein,Überraschung
Hitzesommer läutet Klimawandel im Bundeshaus ein,Antizipation
Hausärzte werden zu Sterbehelfern,Überraschung
Hausärzte werden zu Sterbehelfern,Antizipation
Racial Profiling: Bauchgefühl reicht in Zürich nicht für Polizeikontrolle,Antizipation
Racial Profiling: Bauchgefühl reicht in Zürich nicht für Polizeikontrolle,Vertrauen
Das haut die SVP vom Hocker,Antizipation
Der grosse Vergleich Österreich-Schweiz,Antizipation
«Immer mehr verzichten ganz auf Fleisch»,Vertrauen
Bis zu drei Viertel der Influencer-Follower sind falsch,Überraschung
Droht ein neuer kalter Krieg?,Antizipation
Weltweit fünfzig Prozent mehr Hungernde als 2015,Traurigkeit
Was die jüngsten Brexit-Entwicklungen für die Verhandlungen der Schweiz mit der EU bedeuten,Antizipation
"Die Raketenglace, der Dauerbrenner zur Mondlandung",Überraschung
Bundesrat gegen vier Wochen Vaterschaftsurlaub,Traurigkeit
Deutschland erwägt Gratis-ÖV in Städten. Doch die Mobilität ist schon jetzt zu billig.,Antizipation
FDP-Caroni will Vaterschaftsurlaub ultralight,Antizipation
FDP-Caroni will Vaterschaftsurlaub ultralight,Vertrauen
Forscher setzen bei Mäusen sanftere Gentherapie ein,Überraschung
Forscher setzen bei Mäusen sanftere Gentherapie ein,Antizipation
Rassismusprävention kommt in den Schulen zu kurz,Traurigkeit
Nationalrat sagt knapp Ja zum Burkaverbot,Antizipation
Industrie-Allianz gegen Plastikabfälle: Greenpeace macht es sich mit der Verteufelung zu leicht,Antizipation
Die Schweiz reagiert empfindlich auf den Klimawandel,Angst
Experten soll Hooligans an Fussball-EM in Schach halten,Antizipation
Experten soll Hooligans an Fussball-EM in Schach halten,Vertrauen
Venezuelas Regierung erhöht den Mindestlohn - neue Proteste geplant,Ärger
Venezuelas Regierung erhöht den Mindestlohn - neue Proteste geplant,Traurigkeit
Venezuelas Regierung erhöht den Mindestlohn - neue Proteste geplant,Angst
Zeitungskommentatoren: Nur nichts überstürzen beim Atomausstieg,Vertrauen
DNA-Schere kann auch RNA zerschneiden,Antizipation
Die Wende schon am Ende!,Überraschung
Taxi uber Google bestellen,Antizipation
ETH Lausanne gehört zu den aufstrebenden Hochschulen,Freude
Hooligan-Alarm in Basel!,Antizipation
Hooligan-Alarm in Basel!,Angst
"Alabama erlässt ein fast vollständiges Abtreibungsverbot – wieso das Gesetz nicht in Kraft treten dürfte, aber trotzdem für die gesamte USA von Bedeutung ist",Überraschung
"Alabama erlässt ein fast vollständiges Abtreibungsverbot – wieso das Gesetz nicht in Kraft treten dürfte, aber trotzdem für die gesamte USA von Bedeutung ist",Antizipation
Zuwanderung: Schweiz bis nach Briten-Referendum in der Zwangspause,Antizipation
Chinesischer Technologieriese Huawei trotz Gegenwind,Ärger
Chinesischer Technologieriese Huawei trotz Gegenwind,Antizipation
Über 30 Prozent Frauenanteil auf den Chefetagen auch ohne Quoten,Überraschung
Eine Europäische Union «en marche»?,Antizipation
Eine Europäische Union «en marche»?,Angst
Den Kitas hauts den Nuggi raus,Überraschung
Den Kitas hauts den Nuggi raus,Antizipation
Der Friede ist so zerbrechlich wie noch nie,Angst
Der impotente Mann,Traurigkeit
In Senegal sind Plastiktüten verboten. Die meisten Menschen ignorieren das – aus Höflichkeit,Überraschung
Die Zürcher Stadtpräsidentin will Ausländern ein Stimmrecht geben. Dazu greift sie zu einem ungewöhnlichen Mittel,Vertrauen
Die letzte Chance für das Spital Affoltern,Traurigkeit
"«Es wäre zu billig, die FDP zu kritisieren»",Keine
«Warum braucht ein lebensmüder Mensch eine Lizenz zum Sterben?»,Antizipation
So perfid wurde Hunziker von der Sekte kontrolliert,Traurigkeit
So viel Multikulti steckt in den WM-Teams,Überraschung
Der Entscheid für eine Testosteron-Obergrenze ist ein Entscheid für den Frauensport,Unklar
"Schau mir in die Augen, Bürger",Unklar
Spionagevorwürfe gegen Huawei: Europa muss die Trump-Brille ablegen,Antizipation
Italiens Populisten wollen am Sonntag die Läden schliessen,Traurigkeit
Vier Forderungen zur Regulierung künstlicher Intelligenz,Unklar
"Schau mir in die Augen, Grosser!",Antizipation
"Traute Firma, Glück allein?",Vertrauen
"Schweizer werden bei der Rente gefragt, Russen nicht",Traurigkeit
Beim heimlichen Handy-Riesen,Antizipation
Klugheit statt Panik – die richtige Einwanderungspolitik für Europa,Ärger
Schweizer Energieversorger produzieren mehr CO2,Traurigkeit
Doppelt so teuer oder billig wie nie?,Antizipation
Nidwalden will den Atommüll-Fluch endlich loswerden,Antizipation
Zeitungskommentatoren appellieren an Kompromissbereitschaft der SVP,Vertrauen
Die ETH entlässt Professorin Carollo wegen Mobbing-Vorwürfen – 7 Antworten zur ersten Kündigung in der Geschichte der Hochschule,Ärger
"Air 2030, Bundesverfassung und Demokratie",Unklar
Die Testosteron-Bilanz der Finanzkrise,Überraschung
Ein Stück Gratis-Pizza für Obdachlose,Freude
Rassismus: Es gilt die Schuldvermutung,Ärger
«Google kennt mich besser als meine Familie»,Angst
"Viele Impfstoffe sind knapp, weil es zu wenige Anbieter gibt",Unklar
Hunderte protestierten in Bern gegen Rassismus,Unklar
"«Wir nicht, die anderen auch!»",Traurigkeit
Die Initiative für vier Wochen Vaterschaftsurlaub wird wahrscheinlich nicht zur Abstimmung kommen,Unklar
"2,4 Milliarden Euro Busse an Google: Ein möglicher Präzedenzfall mit enormen Folgen",Überraschung
"2,4 Milliarden Euro Busse an Google: Ein möglicher Präzedenzfall mit enormen Folgen",Ärger
Aus ETH wird ITH!,Freude
Aus ETH wird ITH!,Vertrauen
Kunden machens immer häufiger selbst,Antizipation
Kunden machens immer häufiger selbst,Vertrauen
Randalierer droht Gefängnis,Ärger
Randalierer droht Gefängnis,Vertrauen
Crispr bringt grosse Risiken mit sich,Vertrauen
Crispr bringt grosse Risiken mit sich,Angst
Klimawandel-Opfer verbünden sich,Vertrauen
U-Haft ist härter als der Strafvollzug,Ärger
U-Haft ist härter als der Strafvollzug,Traurigkeit
Fragen und Antworten zur Grippeimpfung,Vertrauen
Der Migrationsbuckel ist eine unbequeme Wahrheit für Politiker im reichen Norden,Ärger
Der Migrationsbuckel ist eine unbequeme Wahrheit für Politiker im reichen Norden,Traurigkeit
Wegen Sperre: Russen drohen mit Klage,Ärger
Bund schaffte innert 15 Jahren 57'4000 neue Kita-Plätze,Freude
Bund schaffte innert 15 Jahren 57'4000 neue Kita-Plätze,Vertrauen
Die «stille» Umverteilung in der AHV: Sie wirkt de facto als Hochlohnsteuer,Überraschung
BLICK entwirrt den Zahlensalat der Altersvorsorge,Angst
Managerinnen schaffen es in der Schweiz selten ganz an die Spitze,Traurigkeit
Öffentliche Verkehrsmittel sind ab 2020 in Luxemburg gratis – in welchen Ländern ähnliche Experimente erfolgreich waren und wo sie gescheitert sind,Antizipation
Öffentliche Verkehrsmittel sind ab 2020 in Luxemburg gratis – in welchen Ländern ähnliche Experimente erfolgreich waren und wo sie gescheitert sind,Freude
Intelligenzbeschleuniger,Antizipation
Intelligenzbeschleuniger,Freude
Ban Ki Moon: Muslime werden am häufigsten Opfer von Extremismus,Vertrauen
"EU verhängt Rekordbusse von 4,34 Milliarden Euro gegen Google",Überraschung
"EU verhängt Rekordbusse von 4,34 Milliarden Euro gegen Google",Ärger
Die Kosten für Kinderkrippen sollen gesenkt werden – aber wie?,Unklar
SVP scheitert in den Kantonen kläglich,Traurigkeit
Wenn das Volk Amazon zu Hilfe eilt,Unklar
Leben auf Öko-Pump: Globaler Ressourcenverbrauch ist zu hoch,Traurigkeit
Die verhaftete Kronprinzessin und die grosse Angst vor Huawei,Antizipation
Immer weniger Unfälle im öffentlichen Verkehr,Keine
Immer weniger Unfälle im öffentlichen Verkehr,Vertrauen
31 Sportler von Peking 2008 neu gedopt erwischt!,Vertrauen
Kanadische Regierung will Gesetz für Legalisierung von Marihuana,Vertrauen
Projektidee: Die Schweiz soll Kulturhauptstädte bekommen,Freude
Kommt es zum Krieg?,Angst
Der Bundesrat liefert die AHV-Botschaft erst im August,Antizipation
Die dritte Säule muss den Wohlstand retten,Antizipation
Die dritte Säule muss den Wohlstand retten,Vertrauen
Zum politischen Engagement der Kirche,Vertrauen
«Schweizermacher»-Regisseur Rolf Lyssy fordert den Altersfreitod,Vertrauen
Warum sich Novartis an das Geschäft mit medizinischem Marihuana wagt,Freude
Das Stichwort: Warum das Unteilbare ganz besonders persönlich ist. Und was das Individuum mit der Atomphysik verbindet,Überraschung
Die SP nimmt Belästiger ins Visier,Unklar
Willkommen auf dem Multikulti-Klo,Überraschung
Willkommen auf dem Multikulti-Klo,Antizipation
Willkommen auf dem Multikulti-Klo,Freude
Es gibt ein Leben jenseits von Android,Antizipation
Es gibt ein Leben jenseits von Android,Freude
"«Der andere Blick»: Die Migration muss reguliert werden, wenn wir den Sozialstaat erhalten wollen",Vertrauen
"Liebe Rentner, lebt nicht auf unsere Rechnung!",Unklar
Restriktive Haltung zu Zuwanderung hat laut Studie stark zugenommen,Antizipation
Der Renten-Zoff geht in die nächste Runde,Antizipation
In der Schweiz werden Impfstoffe knapp!,Antizipation
In der Schweiz werden Impfstoffe knapp!,Angst
Treibt die EU der Schweiz die Subventionitis aus?,Überraschung
Treibt die EU der Schweiz die Subventionitis aus?,Antizipation
Unheimlich schöne neue Google-Welt,Antizipation
Unheimlich schöne neue Google-Welt,Freude
Weshalb die lebenslange Verwahrung im Fall Rupperswil fast ausgeschlossen ist,Überraschung
Weshalb die lebenslange Verwahrung im Fall Rupperswil fast ausgeschlossen ist,Antizipation
Schweizer finden Regulierung gut,Überraschung
Schweizer finden Regulierung gut,Antizipation
«Mediterrane Nächte»: Zürcher Restaurants sollen im Sommer im Freien bis nach Mitternacht wirten dürfen,Antizipation
«Mediterrane Nächte»: Zürcher Restaurants sollen im Sommer im Freien bis nach Mitternacht wirten dürfen,Freude
Der Frauenanteil in Schweizer Führungsetagen steigt wieder,Überraschung
Nach dem Fest der #digitalalltag,Antizipation
Nach dem Fest der #digitalalltag,Freude
Mehrere US-Staaten stimmen für Legalisierung von Marihuana,Freude
Mehrere US-Staaten stimmen für Legalisierung von Marihuana,Vertrauen
Schweiz propagiert Blockchain-Lösungen für Flüchtlinge,Freude
Schweiz propagiert Blockchain-Lösungen für Flüchtlinge,Vertrauen
Verhärtete Fronten im Streit um zu teure Medikamente,Überraschung
Verhärtete Fronten im Streit um zu teure Medikamente,Ärger
Wo in Europa Abtreibungen erlaubt sind und unter welchen Voraussetzungen,Überraschung
Wo in Europa Abtreibungen erlaubt sind und unter welchen Voraussetzungen,Antizipation
Darum gehts bei der #MeToo-Debatte,Überraschung
Darum gehts bei der #MeToo-Debatte,Antizipation
Darum gehts bei der #MeToo-Debatte,Ekel
«Ich stimme auf jeden Fall dafür»,Antizipation
«Ich stimme auf jeden Fall dafür»,Vertrauen
Startschuss für AHV-Ausbau,Unklar
Kommt jetzt der automatische Rentenklau?,Ärger
Bund will Medi-Preise nicht senken,Antizipation
Schweizermacher werden von Ausländern überrannt,Unklar
"Böser Konvertit, guter Konvertit",Antizipation
"Böser Konvertit, guter Konvertit",Vertrauen
Wie die Ehe für alle die Reformierten spaltet,Antizipation
Die Bestrafung von Freiern macht Schule,Antizipation
Wie funktioniert eine Suchmaschine?,Antizipation
Wie funktioniert eine Suchmaschine?,Freude
Indizien zu Dürreperioden: Der Einfluss des Menschen lässt sich weiterhin schwer greifen,Überraschung
Indizien zu Dürreperioden: Der Einfluss des Menschen lässt sich weiterhin schwer greifen,Antizipation
Battle Royale statt Kampagne für Einzelspieler,Antizipation
Battle Royale statt Kampagne für Einzelspieler,Vertrauen
Videogames machen nicht gewalttätig,Unklar
