emotion_en,sentence_en,emotion_de,sentence_de
sadness,"Rove Live in 3 mins, kinda excited.",Traurigkeit,"Rove lebt in 3 Minuten, irgendwie aufgeregt."
surprise,falling asleep and waking to gun shots arent fun,Überraschung,"Einschlafen und auf Waffenschüsse aufwachen, macht keinen Spaß"
sadness,"@HimOverThere awww, poor leg!  *sends virtual hug* x",Traurigkeit,"@Himoverthere awww, schlechtes Bein!* Sendet virtuelle Umarmung* x"
neutral,"After France I was gonna spend more time in the sun, to overcome my negative reaction to it. Yep, in Netherlands. Good luck to me",Unklar,"Nach Frankreich wollte ich mehr Zeit in der Sonne verbringen, um meine negative Reaktion darauf zu überwinden.Ja, in den Niederlanden.Mir viel Glück"
happiness,@omgdarleny hahaa your awesomee !,Freude,@omgdarleny hahaha du bist großartig!
sadness,"Hummmmm..... ohh  i miss you so much!!! realy, but i hope you have a nice friends, like us :]",Traurigkeit,"Hmmm ..... ooh ich vermisse dich so sehr !!!Wirklich, aber ich hoffe du hast nette Freunde, wie wir:]"
happiness,@sneadles What a great picture!  We won tons of money that day.  (       ),Freude,@Sneadles Was für ein tolles Bild!Wir haben an diesem Tag Tonnen Geld gewonnen.()
sadness,its funny. i'm kinda sad on my last day,Traurigkeit,es ist lustig.Ich bin ein bisschen traurig an meinem letzten Tag
sadness,"@jennafletch at freddies having a cotch and LADYHAWKE is here, just missing you my bajan beauty",Traurigkeit,@jennaFletch bei Freddies mit einem Cotch und Ladyhawke ist hier und vermisst dich einfach meine Bajan -Schönheit
love,I don't know how to quit you-brokeback mountain,Vertrauen,"Ich weiß nicht, wie ich den Berg für den Brandback verlassen soll"
worry,@miabatsoy awww...i hope you'd be well na sis....it's so disgusting to be sick  better take the rest that you need...charge up...mwah!,Angst,"@miabatsoy awww ... Ich hoffe, es geht dir gut, na Sis .... Es ist so ekelhaft, krank zu sein, nimm den Rest, das du brauchst ... aufladen ... Mwah!"
worry,I dont think my twitpic is working,Angst,"Ich glaube nicht, dass mein Twitpic arbeitet"
sadness,@lilvanillafrop that's not funny,Traurigkeit,@lilvanillaFrop das ist nicht lustig
sadness,theres nothing worse than working on a friday night and having to wake up at 6 am on a saturday. I want my babe,Traurigkeit,"Es gibt nichts Schlimmeres, als an einem Freitagabend zu arbeiten und an einem Samstag um 6 Uhr morgens aufwachen zu müssen.Ich will mein Baby"
happiness,Headed up to WMC for the day. Hopefully I'll have enough time to swing by Chinatown on the way home. I'm in the mood for duck!,Freude,"Auf dem Weg nach WMC für den Tag.Hoffentlich habe ich genug Zeit, um auf dem Heimweg an Chinatown zu schwingen.Ich habe Lust auf Ente!"
neutral,fully understands why these cats have cabin fever! Holy crap.. I really wanna be outside!!,Unklar,"Versteht voll und ganz, warum diese Katzen Kabinenfieber haben!Heiliger Mist .. Ich möchte wirklich draußen sein !!"
neutral,@sunsetboba lulz at robert,Unklar,@SunsetBoba Lulz bei Robert
sadness,"Today is a sad day for Tucson: http://tr.im/mQ39 I shall miss the sour cream apple pie, fondue, and separate seating for groups with dogs",Traurigkeit,Heute ist ein traurig
worry,Wow slept in with no dolidh here to wake me up,Angst,"Wow schlief hier ohne Dolidh, um mich aufzuwecken"
sadness,@narrated it's kool...it's his job i blame,Traurigkeit,"@Narated Es ist Kool ... es ist sein Job, den ich beschuldigt habe"
worry,@HollyMVG That's awesome. Biking is an underappreciated activity these days.,Angst,@HollyMvg Das ist großartig.Das Radfahren ist heutzutage eine unterschätzte Aktivität.
sadness,Going to the dirt track races w Aaron. Having a really good hair day! wish I could wear makeup though,Traurigkeit,"Gehen Sie zu den Dirt Track Races mit Aaron.Einen wirklich guten Haartag!Ich wünschte, ich könnte Make -up tragen"
worry,My Twitteeeerrr babiieshow Ive missed you  I hate this whole not having a phone thng,Angst,"Meine Twitzeeeerrr -Babys, wie ich dich vermisst habe."
worry,@its_sb I killed my furby tooo,Angst,@its_sb Ich habe auch meinen Furby Too getötet
sadness,"@KManCOBHC he has been really brave but this is the best thing to do - now he can rest and get better. Get well soon, Alexi",Traurigkeit,"@Kmancobhc Er war wirklich mutig, aber das ist das Beste - jetzt kann er sich ausruhen und besser werden.Holen Sie sich bald gut, Alexi"
worry,"@Hanster7705 yeah, it's tragic  i need a haircut",Angst,"@Hanster7705 Ja, es ist tragisch Ich brauche einen Haarschnitt"
worry,I'm suffering from restless legs and butt syndrome.,Angst,Ich leide an unruhigen Beinen und Butt -Syndrom.
neutral,@calvinharris i wannabe in dubai,Unklar,@calvinharris I Möchtegern in Dubai
worry,Suffering from  Hemorrhoids.,Angst,Leiden an Hämorrhoiden.
sadness,@xzenax Bad times for everyone  Whywhywhy do we have to write essays  No fair!,Traurigkeit,"@xzenax schlechte Zeiten für alle warum, warum müssen wir Essays no fair schreiben!"
love,my momma is comin 2night !  2morrow tennis day with p?nar yuppie !,Vertrauen,Meine Mama kommt 23 Tage!2 -Morgen -Tennistag mit p? Nar yuppie!
happiness,Broke my carafe  went to Starbucks for my caffiene fix and the lights go out...just for a sec but are you kidding me..got to laugh. Ha!,Freude,"BRAKE My Carafe ging zu Starbucks, um mein Koffein zu reparieren und die Lichter gehen aus ... nur für eine Sekunde, aber machst du mich veräppeln ... ich muss lachen.Ha!"
hate,@db412 Amen to that! My vitamins made me so ill  I felt better before i started taking them!,Ekel,"@DB412 Amen dazu!Meine Vitamine machten mich so krank, dass ich mich besser fühlte, bevor ich anfing, sie zu nehmen!"
worry,@zoe__  that's not good! hope you get better soon and good luck with the exams!,Angst,"@zoe__ das ist nicht gut!Ich hoffe, es geht dir bald besser und viel Glück mit den Prüfungen!"
neutral,@Joseph_KHC wooow. lucky XD my break is gonna end. my classes starts @ june 4,Unklar,"@Joseph_khc wooow.Lucky XD, meine Pause wird enden.Mein Unterricht beginnt am 4. Juni"
neutral,Aww When Love Is Gone is playing on shuffle,Unklar,"Aww, wenn Liebe weg ist, spielt auf Shuffle"
neutral,@TessMorris fine! Going to do my big walk today 20 or so miles,Unklar,"@Tessmorris Gut!Ich werde heute meinen großen Spaziergang machen, ungefähr 20 Meilen"
neutral,I have to start eating healthy,Unklar,Ich muss mich gesund ernähren
happiness,@chrissinicole I guess thats just how I am lol,Freude,"@chrissinicole Ich denke, so bin ich lol"
neutral,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,Unklar,Keine Themenkartengespräche beim Balisage Markup Conference 2009 -Programm online unter http://tr.im/ml6z (über @bobdc) #topicmaps
sadness,wishing i was on a beach right now!!,Traurigkeit,"Ich wünschte, ich wäre gerade an einem Strand !!"
love,MY AUNTIE FROM QUEENSLAND IS DOWN TO STAY THE NIGHT! YAYA.,Vertrauen,"Meine Tante aus Queensland ist unten, um die Nacht zu bleiben!Yaya."
happiness,@dai_bach daps were the best lol,Freude,@dai_bach Daps waren die besten lol
sadness,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,Traurigkeit,"Diesel Yaris ... 70mpg so traurig, dass es in den USA nicht verfügbar ist.Das wäre großartig."
sadness,"...return my joy cos I'm so  Tired, tired of me Inspire the weary eyed to see the Ire and Irony...",Traurigkeit,"... kehre meine Freude zurück, weil ich so müde und müde von mir die müden Augen inspiriere, den Zorn und die Ironie zu sehen ..."
surprise,395 votes for Hungary?What? But....but...the Nurburgring...  http://tinyurl.com/mtfye3,Überraschung,395 Stimmen für Ungarn? Was?Aber ... aber ... der Nurburgring ... http://tinyurl.com/mtfye3
happiness,@lar206 just saw a baby blue regal with the word &quot;SLAB&quot; written in huge letters on the side  hahaaaa,Freude,"@lar206 habe gerade ein babyblaues Regal mit dem Wort ""Slab"" gesehen.geschrieben in riesigen Briefen nebenbei hahaaaa"
worry,@Soudabeh What happened? ... Doctors don't get sick!   hope you get well soon...,Angst,"@Soudabeh Was ist passiert?... Ärzte werden nicht krank!Ich hoffe, dir geht es bald besser..."
sadness,Booo my best friend is leavin for the weekend. What ever will I do without her??,Traurigkeit,"Buchen Sie, dass mein bester Freund für das Wochenende abreist.Was auch immer werde ich ohne sie tun?"
hate,"Needs to 'unfollow' some tweeps, its not that I dislike you but I can't keep up with you tweeting literally every 2 minutes! Sorry",Ekel,"Muss einige Tweets nicht folgen, es ist nicht so, dass ich dich nicht mag, aber ich kann nicht alle 2 Minuten mit dir Schritt halten!Verzeihung"
neutral,@maaaarit I'm on msn now,Unklar,@maaaarit Ich bin jetzt auf msn
worry,never trust someone else's battery operated power tools when you're in a hurry,Angst,"Vertrauen Sie niemals die batteriebetriebenen Elektrowerkzeuge eines anderen, wenn Sie es eilig haben"
happiness,Enjoyed x-men w/ @dwestbrook  now it's time to rest up for this drive home...happy mother's day twit-moms!!!,Freude,"Genossen X-Men W/ @DWESTBROOK jetzt ist es Zeit, sich für diese Heimfahrt auszuruhen ... Happy Mother's Day Twit-Moms !!!"
surprise,@taylorswift13 you're in London?! Wow! I'm near there,Überraschung,@Taylorswift13 Du bist in London?!Wow!Ich bin in der Nähe
happiness,"Photo: jdperry: Seriously, theseï¿½pictures make my day.  Hahaha. Iï¿½always just go aroundï¿½saying ï¿½OMG did you... http://tumblr.com/xzn1pir8s",Freude,"Foto: JDPERRY: Im Ernst, diese Picturen machen meinen Tag.Hahaha.Ich gehe einfach umher"
neutral,@rudygossin Salut  alors le mariage? ^^,Unklar,@Rudygossin Hallo dann Ehe?^^
sadness,"@jonashelford Kewl, I only got my iPhone and gotta hope it lasts all weekend  Only got a shuffle, might bring that anyways... See ya 8am!",Traurigkeit,"@Jonaselford Kewl, ich habe nur mein iPhone und ich muss hoffen, dass es das ganze Wochenende dauert, nur einen Shuffle, könnte das sowieso mitbringen ... siehe ya 8 Uhr morgens!"
sadness,@SuprnaturlShana but he looks so much better with short hair,Traurigkeit,"@Suprnaturlshana, aber er sieht mit kurzen Haaren so viel besser aus"
neutral,I want to watch the movie &quot;Up&quot; but no one wants to watch it with me,Unklar,"Ich möchte den Film sehen ""up & quot;Aber niemand will es mit mir sehen"
neutral,@iamrehman @barbarawaterst @myob247 @hiannie @Jan_Geronimo @JavierChua @ScottATaylor @ozsultan Thanks for sharing with your friends!,Unklar,"@iamrehman @barbarawaterst @myob247 @hiannie @jan_geronimo @javierchua @Scottataylor @ozsultan Danke, dass du mit deinen Freunden geteilt hast!"
worry,"We actually have milestones due for 3 high profile projects in the next 2 weeks, &amp; they are all scheduled when I am on vacation -",Angst,"Wir haben tatsächlich Meilensteine, die in den nächsten 2 Wochen für 3 hochkarätige Projekte fällig sind, & amp;Sie sind alle geplant, wenn ich im Urlaub bin -"
neutral,Guess I'll take a nap,Unklar,"Ich schätze, ich mache ein Nickerchen"
worry,"@wendyandlisa unfortunately, I will miss Girl Bros. Radio tonight. Will be in the midst of an all night writing session",Angst,@Wendyandlisa Leider werde ich heute Abend das Girl Bros. Radio vermissen.Wird mitten in einer All Night -Writing -Sitzung sein
neutral,studying the american revolution...george washington,Unklar,Studieren der amerikanischen Revolution ... George Washington
worry,@tinylegacies D: But it is making people unhappy and I dun like unhappiness,Angst,@tinylegacies D: Aber es macht die Menschen unglücklich und ich mag Unglück
neutral,"@notdiyheather I LOVE fresh garden veggies...especially tomatoes!  We are in a tiny apartment, with a non-sunny patio!",Unklar,"@notdiyheather Ich liebe frisches Gartengemüse ... besonders Tomaten!Wir befinden uns in einer winzigen Wohnung, mit einer nicht gesuntigen Terrasse!"
hate,"I hate horrible atmospheres, I pick them up so quick!  kisskiss xxxxxxxxxx",Ekel,"Ich hasse schreckliche Atmosphären, ich nehme sie so schnell ab!kisskiss xxxxxxxxxx"
neutral,@rmwiley i feel you girl,Unklar,@rmwiley Ich fühle dich Mädchen
happiness,show time baby! bye bye for now Tweeters,Freude,Zeigen Sie Zeit Baby!Tschüss Tschüss für den Moment Hochtöner
sadness,lost my DC hat ..,Traurigkeit,Ich habe meinen DC -Hut verloren ..
surprise,@kim_flores aww i don't! i guess that's why it doesnt  (blackberrymessenger),Überraschung,"@kim_flores aww ich nicht!Ich denke, deshalb nicht (Blackberry Messenger)"
neutral,"@patricklanglois http://twitpic.com/4w52z - hope you're having loads of fun!  i love and miss you all, boys.",Unklar,"@patricklanglois http://twitpic.com/4w52z - Ich hoffe, Sie haben viel Spaß!Ich liebe und vermisse euch alle, Jungs."
neutral,the bone along the outside of ur feet ~ do a caterpillar crawl of the sides 4 spine relief  reflexology works.,Unklar,Der Knochen entlang der Außenseite Ihrer Füße ~ Mach eine Raupe -Kriechen der Seiten.
surprise,Ugh RUDE!..,Überraschung,Ugh unhöflich! ..
neutral,"The scream of sirens, and three fire trucks going south bound on the highway = I will not get home before 7.",Unklar,"Der Schrei der Sirenen und drei Feuerwehrautos, die nach Süden gehen, steigen auf der Autobahn = Ich werde nicht vor 7 nach Hause kommen."
neutral,@Amador323 in june. the 6th. a sat!,Unklar,@Amador323 im Juni.der 6..Ein Sat!
worry,"Wishing it was a sunny day, then I might just be bothered to get outta bed! ..up the blues",Angst,"Ich wünschte, es wäre ein sonniger Tag, dann könnte ich mir nur die Mühe machen, aus dem Bett zu kommen!..Up the Blues"
neutral,Finished Death Du Jour. School's out.  Nerd.,Unklar,Fertiger Tod du jour.Schule ist vorbei.Nerd.
neutral,Gnight shar   &lt;(' '&lt;)Vega(&gt;' ')&gt;,Unklar,Gnight Shar & lt; ('' & lt;) Vega (& gt; '') & gt;
happiness,i am kind of excited to go to school today. i dont know why. hopefully it will be a good day,Freude,"Ich freue mich sehr, heute zur Schule zu gehen.Ich weiß nicht warum.Hoffentlich wird es ein guter Tag"
worry,diiinner  its sooo cold right here D:,Angst,Abendessen ist es so kalt hier d:
hate,Weather sucks. APUSH filming has become a maybe  At least banquet is tonight,Ekel,Wetter ist scheiße.Apush -Dreharbeiten sind zumindest heute Abend ein Bankett geworden
worry,My vibe is currently downed.  The only thing amusing me is my Joker shirt. *Looks down and pokes shirt* I want a peanut butter sandwich...,Angst,"Meine Stimmung ist derzeit niedergeschlagen.Das einzige, was mich amüsiert, ist mein Jokerhemd.* Schaut nach unten und stochert Hemd* Ich möchte ein Erdnussbutter -Sandwich ..."
worry,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh,Angst,".. Ich soll schlafen.Aber ich habe viel zu tun.&Ampere;Ich habe diesen einen Teil des Liedes in meinem Kopf stecken "", du bist ein Ruck (ich weiß) & quot;Blaahh"
happiness,I love when i have time for starbucks,Freude,"Ich liebe es, wenn ich Zeit für Starbucks habe"
worry,"http://www.facebook.com/pages/HelloTxt/73275306275 this message is posted on HelloTxt Facebook Fan page through HelloTxt, check it out",Angst,"http://www.facebook.com/pages/hellotxt/73275306275 Diese Nachricht ist auf der Hellotxt -Facebook -Fanseite über Hellotxt veröffentlicht, schauen Sie sich es an"
neutral,taking in the local art,Unklar,Die lokale Kunst aufnehmen
sadness,@watermelon39 haha! And Twitter! Hard though isn't it?!,Traurigkeit,"@Watermelon39 Haha!Und Twitter!Hart ist es nicht, nicht wahr ?!"
surprise,@eddwriter call me when your done with your finals and tell me how you did  YOU CAN DO IT!!!!!!!!!,Überraschung,"@eddwriter ruf mich an, wenn du mit deinem Finale fertig bist und mir sag mir, wie du es gemacht hast, kannst du es tun !!!!!!!!!"
sadness,"in school, wants to read Eclipse, 200-and-some-60 pages read",Traurigkeit,"In der Schule möchte Eclipse, 200 und finanzielle Seiten lesen"
love,Just got the may issue of Total Girl!!! Love it  especially with all the things and info about different countries. And EMMA WATSON!!!,Vertrauen,Ich habe gerade die Mai -Ausgabe von Total Girl bekommen !!!Liebe es besonders mit all den Dingen und Informationen über verschiedene Länder.Und Emma Watson !!!
love,@iNanz bet sexy; i added u on myspace!,Vertrauen,@inanz wette sexy;Ich habe dich auf myspace hinzugefügt!
worry,@P33ZY  My Power was cut off  thats where i went,Angst,"@P33zy meine Kraft wurde abgeschnitten, da ich gegangen bin"
worry,"@tommcfly tweet me, have a convo i will tell you whats happening in BGT!did you watch the final of lost? i was like noo dont end it there",Angst,"@Tommcfly Tweet mich, habe eine Konvo. Ich werde dir sagen, was in BGT passiert! Hast du das Finale von Lost gesehen?Ich war, als würde ich es dort nicht beenden"
sadness,a bird flew into window at my parents house and snapped his poor neck. gotta bury him,Traurigkeit,Ein Vogel flog in das Fenster im Haus meiner Eltern und schnappte sich seinen schlechten Hals.Ich muss ihn begraben
hate,I'm really mad at the world today. Today is just a sucky day.,Ekel,Ich bin heute wirklich sauer auf die Welt.Heute ist nur ein treuer Tag.
enthusiasm,Ready for Eastenders - going to be a good one!! .. Then the last BGT Semi Final  .. FINAL tomorrow night though  Exciting stuff...,Antizipation,"Bereit für EastEnders - wird ein guter !!.. dann das letzte BGT -Semi -Finale .. Finale morgen Abend, aber aufregendes Zeug ..."
sadness,My birthday is now over.,Traurigkeit,Mein Geburtstag ist jetzt vorbei.
neutral,@MrBillyBones Twitpic won't show me the picture,Unklar,@Mrbillybones twitpic wird mir das Bild nicht zeigen
love,Sending love &amp; respect to all the mommies out in the twitterverse! You all inspire me!!,Vertrauen,Liebe & amp;Respekt auf alle Mommies in der Twitterverse!Sie alle inspirieren mich !!
love,Monday and I am at work and the legs are a still hurting a little! Smile,Vertrauen,Montag und ich bin bei der Arbeit und die Beine sind noch ein wenig weh!Lächeln
happiness,@EmilyYoung09 havin fun? x btw isnt it bowling? x  xx,Freude,@Emilyyoung09 Havin Fun?X Übrigens ist es nicht Bowling?x xx
hate,"want to read twilight all day, not work at the stupid cher function",Ekel,"Ich möchte den ganzen Tag Twilight lesen, nicht bei der dummen Cher -Funktion arbeiten"
love,@Rtib happy birthday,Vertrauen,@Rtib Alles Gute zum Geburtstag
sadness,On the road again. I miss my traveling traveling partner,Traurigkeit,Wieder auf der Straße.Ich vermisse meinen Reisepartner
love,@liltwist twist cld u follow me  ill love u forever,Vertrauen,"@liltwist twist cld du folgst mir, ich liebe dich für immer"
worry,http://twitpic.com/4ws8w - Look who I brought home,Angst,"http://twitpic.com/4ws8w - schau, wen ich nach Hause gebracht habe"
happiness,Just touched down in Changi. +1/2 hrs to kill before heading to Penang.  Must fly singapore air more often!,Freude,"Ich habe gerade in Changi gelernt.+1/2 Std. Um zu töten, bevor Sie nach Penang fahren.Muss öfter Singapore Air fliegen!"
worry,@xxAnnaSxx oh I'm sorry for that. how old was your grandpa?,Angst,"@xxannasxx Oh, das tut mir leid.Wie alt war dein Opa?"
worry,"Gotta drop off some car parts for a buddy to press out, then to the dentist!    http://yfrog.com/0a7v3j",Angst,"Ich muss ein paar Autoteile abgeben, damit ein Kumpel dann zum Zahnarzt drückt!http://yfrog.com/0a7v3j"
worry,"@naomijade Heavens, not good  I can empathise. Fingers crossed it doesn't come to anything and you can sleep easy. Wishing for the best...",Angst,"@naomijade Himmel, nicht gut, kann ich mich einfühlen.Daumen gekreuzt, es kommt zu nichts und Sie können leicht schlafen.Ich wünsche mir das Beste ..."
neutral,"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says &quot;Crackerack&quot;?",Unklar,"Ich wartete und hörte auf den Wind, der durch das Tumbleweed weht?Sind keiner von Ihnen alt genug, um zu wissen, was zu tun ist, wenn jemand ""Crackerack"" sagt."
happiness,@clumsyFA yeah! Love my Hawaiian outfit. We reused that for rugby 7 this year with @doublechin,Freude,@clumsyfa ja!Liebe mein hawaiianisches Outfit.Wir haben das für Rugby 7 in diesem Jahr mit @Doublechin wiederverwendet
worry,"@hepcatrayo  so sorry, I just found the members preview has been sold out for awhile. It opens at Noon to the general public",Angst,"@hepcatrayo So leid, ich habe gerade festgestellt, dass die Vorschau der Mitglieder für eine Weile ausverkauft ist.Es öffnet mittags für die breite Öffentlichkeit"
happiness,Thanks so much for following me here too  I will keep you all up to date as much as possible on my makeup line plus all new collections,Freude,"Vielen Dank, dass Sie mir auch hier verfolgt werden. Ich werde Sie alle so weit wie möglich auf meiner Make -up -Linie auf dem Laufenden halten und alle neuen Sammlungen"
enthusiasm,@jeffparks That would be most welcome,Antizipation,"@jeffparks, das wäre am meisten willkommen"
love,@TweetPhoto Kewl Sounds good. Will wait for it. Thanks,Vertrauen,@Tweetphoto Kewl klingt gut.Wird darauf warten.Danke
happiness,http://twitpic.com/33hus that's my baby,Freude,http://twitpic.com/33hus das ist mein Baby
love,@juicystar007 together,Vertrauen,@JuicyStar007 zusammen
neutral,@chrisettefan hhaha kewl dude!!  but if u dont know &amp; he does have a reason well thats another story mhmhmh...does he?,Unklar,"@chrisettefan Hhaha Kewl Alter !!Aber wenn du es nicht weißt & amp;Er hat einen Grund, das ist eine andere Geschichte Mhmhmh ... oder?"
happiness,@peterfacinelli You didn't answer my riddle  Party pooper lol. Jokes Joyce  it was a good one tho haha. Hav a gr8 weekend!,Freude,"@peterfacinelli du hast meine Rätselparty nicht beantwortet Pooper lol.Witze Joyce Es war ein guter, haha.Ich habe ein Gr8 -Wochenende!"
sadness,@Rachelamac aww you poor thing  hope all goes well!,Traurigkeit,@Rachelamac aww du armes Ding hoffe alles geht gut!
love,Today Tina and I have officially been together for 5 years.  Longest consecutive time I've ever spent with one woman.   I love you babe!,Vertrauen,"Heute sind Tina und ich offiziell seit 5 Jahren zusammen.Die längste in Folge habe ich je mit einer Frau verbracht.Ich liebe dich, Baby!"
happiness,my sister said yayyy its hannah HOEdown today  haaaa hannah is a hoe apparently hoe.,Freude,"Meine Schwester sagte, Yayyy ist Hannah Hoedown heute Haaaa Hannah ist eine Hacke anscheinend Hacke."
love,happy mommys day!,Vertrauen,Happy Mommys Day!
sadness,"@aholston Homework bound for the whole weekend, not so fun",Traurigkeit,"@aholston Hausaufgaben für das ganze Wochenende, nicht so lustig"
sadness,"@dtothealex really... I'm an alumnus, and I don't know myself! and we didn't have Macs yet when I was there...",Traurigkeit,"@dtotheax wirklich ... ich bin Alumnus und ich kenne mich nicht selbst!Und wir hatten noch keine Macs, als ich dort war ..."
sadness,"watched prison break special, such a sad ending",Traurigkeit,"beobachtete das Gefängnisspezialitäten, ein so trauriges Ende"
love,"@RawHealer hey there keeping me healthy sister  nice to see you, have a great day",Vertrauen,"@Rawhealer Hey, halte mich eine gesunde Schwester schön dich zu sehen, einen schönen Tag haben"
sadness,ah remember the days when you'd sleep in until noon? well guess who did that today? god i feel like a loser,Traurigkeit,"Ah, erinnerst du dich an die Tage, an denen du bis Mittag schlafen würdest?Ratet mal, wer das heute getan hat?Gott, ich fühle mich wie ein Verlierer"
happiness,@shakeitblueyes good,Freude,@ShakeItBlueyes gut
love,watching midsomer murders... totally in love with this show. Should have pursued forensic psychology instead of this brain thingy,Vertrauen,Midsomer Morde ansehen ... total in diese Show verliebt.Hätte forensische Psychologie anstelle dieses Gehirnsachens verfolgen sollen
surprise,yay it's friday... hold on I have to work tomorrow,Überraschung,"Ja, es ist Freitag ... Ich muss morgen arbeiten. Ich muss morgen arbeiten"
love,"At work again, when the weather is beautifullll",Vertrauen,"Bei der Arbeit wieder, wenn das Wetter schön ist"
neutral,Hello World,Unklar,Hallo Welt
surprise,Where are all you Motivated/Determined/wannabe sexy successful young professionals!??! I might really have to join a BNI if there is no1!,Überraschung,"Wo sind alles, was Sie motiviert/entschlossen/Möchtegern sexy erfolgreiche junge Profis! ??!Ich muss vielleicht wirklich einem BNI beitreten, wenn es NO1 gibt!"
neutral,"Morning all, typical grey &amp; wet bank holiday Mon so far today. :/ Off to photo gallery and paint gallery later, may treat myself.",Unklar,"Morgen alle, typisch grau & amp;Wet Bank Feiertagsmon bisher heute.:/ Off zur Fotogalerie und Paint -Galerie später können ich mich behandeln."
sadness,@MrGranger trouble is i don't think any of this is helping my wrists.,Traurigkeit,"@Mrgranger Ärger ist, dass ich nicht glaube, dass irgendetwas davon meinen Handgelenken hilft."
worry,"@discombob Yeah, she's done it several times. My Dumerils boa did it a few times w/ no prob. Just wonder if my hognose needs bigger food.",Angst,"@Discombob Ja, sie hat es mehrmals gemacht.Meine Dumerils Boa hat es ein paar Mal mit keinem Problem gemacht.Ich frage mich nur, ob mein Hognose größeres Essen braucht."
happiness,Happy Star Wars day! May the 4th be with you!,Freude,Happy Star Wars Day!Möge der 4. bei dir sein!
neutral,@MSTALENT I know right...,Unklar,@Mstalent Ich weiß richtig ...
neutral,@laccboner man I can cut my hair now. I mean not with cory.  procuts here I come.,Unklar,"@Laccboner Mann, ich kann mir jetzt die Haare schneiden.Ich meine nicht mit Cory.Procuts hier komme ich."
neutral,Also... @earthXplorer @DanTraveling @lonelyplanet @brianepeters #travel #backpacking hope you enjoy our pics &amp; videos,Unklar,"Auch ... @earthxplorer @Dantraveling @LonelyPlanet @brianepeters #Travel #backpacking Hoffe, Sie genießen unsere Bilder & amp;Videos"
neutral,"going to shibuya, meet my mom, get my contact lenses, then shinjuku",Unklar,"Gehen Sie nach Shibuya, treffen Sie meine Mutter, holen Sie sich meine Kontaktlinsen, dann Shinjuku"
happiness,@DomSoFresh bl MUTHAFUCKIN ah!  I win!,Freude,@Domsoptresh Bl Mutafuckin Ah!Ich gewinne!
worry,I seriously need to find out why my laptop sometimes gets so hot. BBL after errands &amp; pricing &quot;comp fixes&quot;. Not many places left 4 that.,Angst,"Ich muss ernsthaft herausfinden, warum mein Laptop manchmal so heiß wird.BBL nach Besorgungen & amp;Preisgestaltung ""comp Fixed & quot;.Nicht viele Orte haben 4 übrig."
neutral,Smh @ hiphop nursery rhymes,Unklar,SMH @ HipHop Nursery reimt sich
happiness,"@Orchidflower Yes,all on my own  OH gone to bed after a minor soap marathon. Photo editing night 4 me. Ohhh Inn on the lake, nice food.",Freude,"@Orchidflower Ja, alles auf meinem eigenen OH nach einem kleinen Seifenmarathon ins Bett gegangen.Foto bearbeiten Nacht 4 ich.Ohhh Inn am See, schönes Essen."
worry,is gonna be mad hungry when I get home. Forgot my money...,Angst,"wird hungrig sein, wenn ich nach Hause komme.Ich habe mein Geld vergessen ..."
love,@davjr  i love you mooorrreeee,Vertrauen,@davjr Ich liebe dich mooorrreeee
happiness,"@joshcough Also it has a dense treatment of CPS and Continuation based Interpreter design, which is not there in SICP. Good to have both",Freude,"@joshcough auch eine dichte Behandlung von CPS und kontinuierliches Dolmetscherdesign, das nicht in SICP vorhanden ist.Gut, beides zu haben"
neutral,some pics up from groundup event  check myspace!,Unklar,Einige Bilder von Groundup Event Check Myspace!
hate,God I HATE scary movies. They are not fun at all. I'm such a wimpy.,Ekel,"Gott, ich hasse beängstigende Filme.Sie machen überhaupt keinen Spaß.Ich bin so ein Wimpy."
happiness,About to go to sleep. Fun,Freude,Im Einklang schlafen gehen.Spaß
love,Mmmmmm.... Coffee...,Vertrauen,Mmmmmmm .... Kaffee ...
love,"@crystalmethod LOVE the album guys and can't wait for the official release  Just curious, what top 3 softsynths/DAW were used on it?",Vertrauen,"@CrystalMethod Love the Album Guys und kann es kaum erwarten, dass die offizielle Veröffentlichung nur neugierig ist. Welche Top 3 Softsynths/Daw wurden darauf verwendet?"
happiness,@JessMcFlyxxx that would be an idea  haha xx,Freude,@Jessmcflyxxx das wäre eine Idee haha xx
happiness,@andyclemmensen have you seen the game on the website?! awesomness!!! go on msn!,Freude,@andyclemmensen Hast du das Spiel auf der Website gesehen?!Awesomness !!!Mach auf msn!
worry,my iMac's died  keeps cutting out for no reason. Anyone recommend a good mac place for service / parts? Think I need a new power supply,Angst,"Mein iMac starb ohne Grund immer wieder.Empfiehlt jemand einen guten Mac -Ort für Service / Teile?Ich denke, ich brauche ein neues Netzteil"
happiness,@bella456  im going to my inlaws tonight.  hopefully my new niece will be there!  who needs kids when my inlaws have them all for me!,Freude,"@Bella456 Ich gehe heute Abend zu meinen Schwiegereltern.Hoffentlich wird meine neue Nichte da sein!Wer braucht Kinder, wenn meine Schwiegereltern sie alle für mich haben!"
