sentence_de,emotion_de,emotion_en,sentence_en
Der deutsche Krampf mit dem Islam,Überraschung,surprise,The German cramp with Islam
Wie wir für die kommenden Krisen gewappnet sein können – IKRK-Präsident Peter Maurer über die Zukunft der humanitären Nothilfe,Antizipation,enthusiasm,How we can be prepared for the upcoming crises-IKRK President Peter Maurer on the future of humanitarian emergency aid
Im Online-Handel sind nicht alle Kunden gleich,Ärger,anger,Not all customers are the same in online trading
"Schweizer werden bei der Rente gefragt, Russen nicht",Traurigkeit,sadness,"Swiss are asked when pension, Russians are not"
ETH Lausanne gehört zu den aufstrebenden Hochschulen,Freude,happiness,ETH Lausanne is one of the emerging universities
Bundesverwaltung erreicht Zielwert bei Frauen in Spitzenpositionen,Freude,happiness,Federal administration achieves target value for women in top positions
App warnt Ärzte und Patienten vor falschen Medikamenten,Vertrauen,love,App warns doctors and patients of wrong medication
EU-Einfluss sei Dank,Freude,happiness,Thanks to the EU influence
Negativzinsen – für wie lange noch?,Antizipation,enthusiasm,Negative interest - for how long?
So perfid wurde Hunziker von der Sekte kontrolliert,Traurigkeit,sadness,Hunziker was checked so perfidiously by the sect
Der Staat muss die Religionsfreiheit durchsetzen,Angst,worry,The state must enforce religious freedom
Schweiz liegt bei erneuerbaren Energien im Mittelfeld,Vertrauen,love,Switzerland is in the middle of renewable energies
In der Schweiz werden mehr rassistische Zwischenfälle am Arbeitsplatz registriert,Traurigkeit,sadness,"In Switzerland, more racist incidents are registered at the workplace"
Schweiz verhandelt in humanitären Fragen direkt mit Assad-Regime,Vertrauen,love,Switzerland negotiates directly with Assad regime in humanitarian questions
Polizei jagte gezielt Diebe aus Nordafrika,Antizipation,enthusiasm,Police hunted thieves from North Africa
Vegi-Boom hat Fleisch am Knochen,Freude,happiness,Vegi boom has meat on the bone
Ein neuer Impfstoff-Skandal versetzt in China Konsumenten und Behörden in Aufruhr,Ekel,hate,A new vaccine scandal puts consumers and authorities in turmoil in China
Auch die Schweiz steht am Pranger,Unklar,neutral,Switzerland is also pillory
"EU verhängt Rekordbusse von 4,34 Milliarden Euro gegen Google",Ärger,anger,EU imposes record buses of 4.34 billion euros against Google
Ein EU-Gesetz mausert sich zum globalen Standard,Unklar,neutral,An EU law is becoming a global standard
Nur zwei der SMI-Unternehmen erfüllen die Frauenquote bereits jetzt,Antizipation,enthusiasm,Only two of the SMI companies are already fulfilling the quota of women
Angriff auf die AHV,Angst,worry,Attack on the AHV
Fliegen ist zu billig,Unklar,neutral,Flying is too cheap
Prekäre Altersvorsorge – ein höheres Rentenalter ist nicht länger tabu,Freude,happiness,Precarious retirement provision - a higher retirement age is no longer taboo
"Das Klima wandelt sich, und wir wandeln uns mit ihm: Ein anderer Blick auf Greta Thunbergs Aufruf zur Panik",Ärger,anger,The climate is changing and we walk with him: a different view of Greta Thunberg's call to panic
Detailhändler sollen Plastikmüll reduzieren,Unklar,neutral,Setail should reduce plastic waste
Weltweit verlieren viele den Glauben an die Demokratie,Unklar,neutral,Many worldwide lose belief in democracy
Die Befürworter des Geldspielgesetzes legen einen Fehlstart hin,Überraschung,surprise,The supporters of the Geschielensgesetz are a false start
Proportionen in der Bankenregulierung wahren,Unklar,neutral,Preserve proportions in banking regulation
«Ehe für alle» wird richtig kompliziert,Antizipation,enthusiasm,"""Before everyone"" becomes really complicated"
Virtuelle Therapien helfen gegen Paranoia,Antizipation,enthusiasm,Virtual therapies help against paranoia
"Schnell reich werden? Nichts einfacher als das, meinen die Befürworter von Vollgeld",Unklar,neutral,"Become rich quickly?Nothing easier than that, the supporters of all money"
Contra: Die Negativzinsen sind längst kontraproduktiv,Überraschung,surprise,Contra: The negative interest rates have long been counterproductive
Trump setzt Huawei auf eine schwarze Liste,Unklar,neutral,Trump puts Huawei on a black list
Die Fehler der Natur korrigieren,Antizipation,enthusiasm,Correct the mistakes of nature
Fünf hartnäckige Legenden über die EU,Vertrauen,love,Five stubborn legends about the EU
IWF rät SNB zu stärkerem Fokus auf Negativzinsen,Freude,happiness,IWF advises SNB on stronger focus on negative interest rates
"Der neue Bericht des Uno-Klimarats stellt sich der Frage, wie der Mensch in Zukunft leben kann. Die Antwort ist verworren",Traurigkeit,sadness,The new report of the UN climate artery arises as to how people can live in the future.The answer is confused
Die Schuldenbremse in Deutschland einmotten? Dann brächen bei den Sozialausgaben die Dämme,Antizipation,enthusiasm,Mottle the debt brake in Germany?Then the dams breathe in the social spending
Jagd auf Wolf soll wieder erlaubt werden,Antizipation,enthusiasm,Hunting for wolf should be allowed again
Betreuungsangebote für Kinder sollen billiger und besser werden,Vertrauen,love,Supervision offers for children should be cheaper and better
Gesundheitskosten: Statt noch mehr Regulierung braucht es richtige Anreize,Ärger,anger,"Health costs: Instead of even more regulation, real incentives are needed"
Schweiz ist bei erneuerbaren Energien und Energieeffizienz auf Kurs,Antizipation,enthusiasm,Switzerland is on course with renewable energies and energy efficiency
Die Islam-Organisationen müssen sich selber hinterfragen,Unklar,neutral,The Islam organizations have to question themselves
Bundesrat gegen schweizweite Liberalisierung der Öffnungszeiten,Antizipation,enthusiasm,Federal Council against Switzerland's liberalization of opening times
Nidwalden will den Atommüll-Fluch endlich loswerden,Antizipation,enthusiasm,Nidwalden finally wants to get rid of the nuclear waste curse
Gericht in Kenia stoppt Schliessung von grösstem Flüchtlingslager,Antizipation,enthusiasm,Court in Kenya stops closing the largest refugee camp
Wanner will länger arbeiten lassen,Antizipation,enthusiasm,Wanner wants to let work longer
Amerikanische Technologiekonzerne sperren Huawei aus,Überraschung,surprise,American technology groups block Huawei
Wolff erntet Kritik nach Massnahmen gegen Racial Profiling,Vertrauen,love,Wolff harvests criticism after measures against racial profiling
Noch vor kurzem war die grüne Welle nicht mehr als ein Störfaktor für die SVP. Jetzt aber rät Christoph Blocher zum Angriff,Überraschung,surprise,"Recently, the green wave was no longer a disruptive factor for the SVP.But now Christoph Blocher advises attack"
Finanzverwaltungs-Direktor Serge Gaillard ruft zum Masshalten auf,Vertrauen,love,Financial management director Serge Gaillard calls for stopping
Nationalrat gegen Frauenquote auf Wahllisten,Ärger,anger,National Council against women's quota on optional lists
Bleibt Deutschland sitzen?,Unklar,neutral,Does Germany stay sitting?
Seit 2004 sind 27 Verwahrte freigekommen,Überraschung,surprise,"Since 2004, 27 kept have been released"
«So rettet man kein einziges Tier»,Antizipation,enthusiasm,"""So you don't save a single animal"""
«Nie wieder Krieg!» Mit dieser Formel ist es nicht getan,Antizipation,enthusiasm,"""Never again war!""It is not enough with this formula"
Zürich führt Datenbank mit 5843 Prostituierten,Vertrauen,love,Zurich leads database with 5843 prostitutes
UNEP: Bei «Weiter wie bisher»-Politik droht Klimakatastrophe,Angst,worry,"UNEP: With “Continue as before” policy, climate catastrophe threatens"
Wie viele Schritte habe ich schon gemacht?,Antizipation,enthusiasm,How many steps have I done?
Immer mehr junge Frauen werden Malerin und erleben die Nachteile eines typischen Frauenberufs,Überraschung,surprise,More and more young women are becoming a painter and experiencing the disadvantages of a typical women's profession
Wenn ein Helikopter in den Gefängnishof fliegt,Angst,worry,When a helicopter flies into the prison courtyard
Eine Legislatur ganz nach dem Gusto der FDP,Vertrauen,love,A legislature according to the taste of the FDP
Luca Waldschmidt: Deutschlands veganer Bomber,Freude,happiness,Luca Waldschmidt: Germany's vegan bomber
Angriff auf liberale Werte,Ärger,anger,Attack on liberal values
Das EU-Datenschutzgesetz spiegelt eine Scheinsicherheit,Ärger,anger,The EU Data Protection Act reflects a sham security
Was die jüngsten Brexit-Entwicklungen für die Verhandlungen der Schweiz mit der EU bedeuten,Antizipation,enthusiasm,What the latest Brexit developments mean for the negotiations of Switzerland with the EU
Nehmen uns Roboter bald die Jobs weg?,Vertrauen,love,Robot will soon take the jobs away?
Videogames machen nicht gewalttätig,Unklar,neutral,Videogs do not make violent
Die letzte Chance für das Spital Affoltern,Traurigkeit,sadness,The last chance for the Hospital Affoltern
Nationalrat nähert sich beim Datenschutz der EU an – Frage des Profilings noch ungelöst,Vertrauen,love,National Council is approaching the data protection of the EU - question of profiling is still unsolved
Google macht Zusagen zur Shopping-Suche an EU-Wettbewerbshüter,Antizipation,enthusiasm,Google makes promises to search for shopping to EU competition keepers
Berset sieht in Reform der Altersvorsorge echten Kompromiss,Antizipation,enthusiasm,Berset sees real compromise in the reform of old -age provision
Geht es in der Klimadebatte wirklich nur um Erkenntnis? Bekenntnisse eines Skeptikers,Überraschung,surprise,Is the climate debate really just about knowledge?Confessions of a skeptic
Influencer – es geht um Vertrauen,Antizipation,enthusiasm,Influencer - it's about trust
Die Schweiz ist eine Umwelt-Musterschülerin – aber nur auf den ersten Blick,Antizipation,enthusiasm,Switzerland is an environmental student-but only at first glance
Sexuelle Belästigung: Das EU-Parlament hält sich den Spiegel vor,Ekel,hate,Sexual harassment: The EU Parliament is holding the mirror
Pauschaltarife wie das GA und die Autobahnvignette gehören abgeschafft,Überraschung,surprise,Flat rates such as the GA and the motorway vignette should be abolished
Dieses autonome Auto kurvt bald durch unsere Städte,Überraschung,surprise,This autonomous car soon curves through our cities
Die Angst vor dem Islam,Antizipation,enthusiasm,The fear of Islam
Weshalb die lebenslange Verwahrung im Fall Rupperswil fast ausgeschlossen ist,Überraschung,surprise,Which is why the lifelong custody in the Rupperswil case is almost excluded
Spitäler kaufen medizinische Produkte zu teuer ein,Ärger,anger,Hospitals buy medical products too expensive
Adoptions-Verbot für Homo-Paare bleibt,Traurigkeit,sadness,Adoption ban for homo-couples remains
Das neue CO2-Gesetz verliert an Biss,Vertrauen,love,The new CO2 law loses bite
Schweiz propagiert Blockchain-Lösungen für Flüchtlinge,Vertrauen,love,Switzerland propagates blockchain solutions for refugees
Rechtsstreit um Kita-Broschüre endet mit Sieg für Kritiker,Unklar,neutral,Legal dispute over daycare brochure ends with victory for critics
Technik passt sich dem Menschen an,Freude,happiness,Technology adapts to man
Über 21 Millionen Vertriebene pro Jahr wegen Naturkatastrophen,Traurigkeit,sadness,Over 21 million displaced persons per year due to natural disasters
Eine Legislatur zum Vergessen für die SVP,Antizipation,enthusiasm,A legislature to forget for the SVP
Abgeordnetenhaus in Rom für Schuldenbremse,Antizipation,enthusiasm,House of Representatives in Rome for debt brake
Schuldenbremse soll auf Sozialversicherungen ausgedehnt werden,Antizipation,enthusiasm,Debt brake is to be extended to social security
Ein Sport ohne Dopingfall? Im Orientierungslauf wird nicht betrogen – offiziell,Überraschung,surprise,A sport without a doping case?In the orientation run is not cheated - officially
«Wir müssen die Plastikflut rasch reduzieren»,Antizipation,enthusiasm,"""We have to quickly reduce the flood of plastic"""
Hätten Sie den jungen Steve Jobs angestellt?,Überraschung,surprise,Would you have hired the young Steve Jobs?
Eine Maklerin für Obdachlose,Traurigkeit,sadness,A broker for homeless people
"«Die SVP ist nicht bereit, bei der Altersvorsorge Verantwortung zu übernehmen»",Antizipation,enthusiasm,"""The SVP is not ready to take responsibility for retirement provision"""
"Negativzinsen sind problematisch, aber die SNB kann sie jetzt nicht einfach aufheben",Antizipation,enthusiasm,"Negative interest rates are problematic, but the SNB cannot simply cancel it now"
Klimawandel – die drei Hebel eines Kleinstaats,Überraschung,surprise,Climate change - the three levers of a small state
CVP-Delegierte sagen klar Ja zur Altersreform 2020,Antizipation,enthusiasm,CVP delegates clearly say yes to old age reform 2020
Das Klagen gegen die Negativzinsen wird globaler und lauter,Antizipation,enthusiasm,The complaint against the negative interest rates becomes global and louder
Chinesischer Technologieriese Huawei trotz Gegenwind,Antizipation,enthusiasm,Chinese technology giant Huawei despite headwind
Zeitungskommentatoren: Nur nichts überstürzen beim Atomausstieg,Vertrauen,love,Newspaper commentators: just nothing overthrow when the nuclear phase -out
«Mexiko wird Bau von Mauer bezahlen»,Ärger,anger,"""Mexico will pay for the construction of Wall"""
Die coolste Handy-Neuheit kommt aus China,Freude,happiness,The coolest mobile phone is from China
Kanton Luzern muss 2012 die Steuern erhöhen,Antizipation,enthusiasm,Canton of Lucerne has to increase taxes in 2012
Die Stadt Zürich baut die Kinderbetreuung weiter aus,Antizipation,enthusiasm,The city of Zurich further expands childcare
Des Bischofs rechte Hand will die «Staatskirche» abschaffen – und verärgert viele Mitkatholiken,Ärger,anger,The “State Church” wants to abolish the bishop's right hand - and annoys many fellow Catholics
SNB-Direktionsmitglied Maechler sieht keine Ende der Negativzinsen,Antizipation,enthusiasm,SNB directorate member Maechler sees no end to negative interest rates
Wer hat Angst vor ihr?,Antizipation,enthusiasm,Who is afraid of her?
Der SVP-Fraktionspräsident auf Abwegen,Unklar,neutral,The SVP parliamentary group president turned away
"Das Klima wandelt sich, und wir wandeln uns mit ihm: Ein anderer Blick auf Greta Thunbergs Aufruf zur Panik",Antizipation,enthusiasm,The climate is changing and we walk with him: a different view of Greta Thunberg's call to panic
«Mediterrane Nächte»: Zürcher Restaurants sollen im Sommer im Freien bis nach Mitternacht wirten dürfen,Freude,happiness,"""Mediterranean nights"": Zurich restaurants should be allowed outdoors until after midnight in summer"
Bundesrat gegen Vaterschaftsurlaub,Vertrauen,love,Federal Council against paternity vacation
Kein Ausweg aus der Mami-Sackgasse,Traurigkeit,sadness,No way out of Mami-Sackgasse
Bei der Cybersicherheit wirkt die Peitsche mehr als das Zuckerbrot,Ärger,anger,"In cyber security, the whip works more than the sugar bread"
"Der Cannabis-Verkauf in Apotheken ist eine clevere Idee, um die Schweizer Drogenpolitik zu entstauben",Vertrauen,love,The cannabis sale in pharmacies is a clever idea to dust out Swiss drug policy
Umfrage: Meiste Menschen in der Schweiz nehmen Klimawandel wahr,Überraschung,surprise,Survey: Most people in Switzerland perceive climate change
Kuba nimmt Paragrafen zu Ehe für Alle nicht in neue Verfassung auf,Antizipation,enthusiasm,Cuba increases paragraphs before everyone is in a new constitution
Volvo ist beim tödlichen Uber-Unfall aus dem Schneider,Überraschung,surprise,Volvo is out of the tailor in the fatal Uber accident
"«Der andere Blick»: Die Migration muss reguliert werden, wenn wir den Sozialstaat erhalten wollen",Vertrauen,love,“The other look”: migration must be regulated if we want to maintain the welfare state
Wann fällt jetzt endlich die Heiratsstrafe?,Überraschung,surprise,When will the marriage penalty finally fall?
Ständerat möchte Krawalltourismus verbieten,Antizipation,enthusiasm,Council of States wants to prohibit riot tourism
Aufsichtsbehörde verordnet Mindestlohn im Postmarkt,Unklar,neutral,Supervisory authority prescribes minimum wage in the post market
Digitalisierung und Schule: Es braucht pragmatische Antworten statt Visionen,Vertrauen,love,Digitization and school: Pragmatic answers are needed instead of visions
Verbraucher nehmen Influencern nicht alles ab,Überraschung,surprise,Consumers do not decrease everything
Zwischen Google und Uber herrscht Krieg,Unklar,neutral,There is war between Google and Uber
Australien will CO2-Emissionen nur bescheiden senken,Überraschung,surprise,Australia only wants to humble CO2 emissions modest
Mexiko geht härter mit Migranten um,Angst,worry,Mexico deals with migrants harder
Bis spätabends ins kühle Nass: Weshalb die SP Zürich längere Badi-Öffnungszeiten fordert,Antizipation,enthusiasm,Until late at night into the cool water: why the SP Zurich demands longer Badi opening times
Wird eine Zwischenlösung im Haushaltsstreit erreicht?,Unklar,neutral,Is an interim solution in the budget dispute achieved?
Spaniens Fussballerinnen kämpfen für einen Mindestlohn und streiken,Antizipation,enthusiasm,Spain's footballers fight for a minimum wage and strike
Die neue Online-Kampagne der CVP schlägt ein wie eine Bombe,Unklar,neutral,The CVP's new online campaign strikes like a bomb
Google meldet zwei Milliarden aktive Android-Geräte,Unklar,neutral,Google reports two billion active Android devices
Letzte Chance für die Dublin-Reform,Antizipation,enthusiasm,Last chance for the Dublin reform
Die Zürcher «Lex Fifa» wird wohl scheitern,Überraschung,surprise,The Zurich “Lex Fifa” will probably fail
Ein Fluss aus Plastik namens Rhein,Traurigkeit,sadness,A river made of plastic called Rhein
Kampf gegen Doping: Die Omertà im Radsport beginnt zu bröckeln,Überraschung,surprise,Fight against doping: Omertà in cycling begins to crumble
Mehrheit gegen SVP-Initiative,Angst,worry,Majority against SVP initiative
Nobelpreisträger Werner Arber: «Ich glaube an die Schöpfung»,Überraschung,surprise,"Nobel laureate Werner Arber: ""I believe in creation"""
Der Teufelskreis des Strafens: Wir strafen immer mehr – aber erreichen wir damit wirklich etwas?,Überraschung,surprise,The vicious cycle of punishment: We are more and more punished - but do we really achieve something with it?
Natürlich gezeugt,Antizipation,enthusiasm,Naturally
Feuerwehr führt Buschfeuer in Bel Air auf Obdachlose zurück,Traurigkeit,sadness,Fire brigade leads Buschfeuer back to homeless in Bel Air
Die Strafrechtskeule macht die Welt nicht besser,Überraschung,surprise,The criminal law leg does not make the world better
Verkürzte Veränderung,Antizipation,enthusiasm,Shortened change
Die «stille» Umverteilung in der AHV: Sie wirkt de facto als Hochlohnsteuer,Überraschung,surprise,"The ""silence"" redistribution in the AHV: It acts as a high wage tax"
Winterthur will mehr Kaderfrauen,Vertrauen,love,Winterthur wants more squad women
Lieber Jobs als Zinsen!,Unklar,neutral,Dear jobs than interest!
Duma will US-Familien Adoption russischer Kinder verbieten,Angst,worry,Duma wants to prohibit US families adoption of Russian children
Vor dieser Firma fürchten sich die USA,Überraschung,surprise,The United States is afraid of this company
Studie: Städte profitieren von Zuwanderung aus der EU,Freude,happiness,Study: Cities benefit from immigration from the EU
Die Lust am Verbot,Antizipation,enthusiasm,The desire to prohibit
Börse macht süchtig wie das Casino,Angst,worry,The stock exchange is addictive like the casino
"«Es war nicht meine Schuld, egal, wo ich war oder was ich anhatte. Der Vergewaltiger bist du!»: Ein choreografierter Protestsong gegen Gewalt gegen Frauen geht von Chile aus um die Welt",Unklar,neutral,"«It wasn't my fault, no matter where I was or what I was wearing.You are the rapist! »: A choreographed protest song against violence against women goes from Chile around the world"
Bundesrat will keine neuen Regeln zu religiösen Symbolen,Unklar,neutral,Federal Council does not want new rules on religious symbols
Wenn die Hölle auf Erden losbricht,Überraschung,surprise,When hell breaks off on earth
Contra Geldspielgesetz: Ein gigantischer Schwarzmarkt,Antizipation,enthusiasm,Contra Gaming Act: A gigantic black market
Keine Subventionen für Viehexport,Antizipation,enthusiasm,No subsidies for cattle export
Eine violette Welle überrollt den 1. Mai in Zürich,Unklar,neutral,A violet wave is rolling over May 1st in Zurich
Schweizer Selbstbestimmung: Die wichtigsten Fakten zu den internationalen Verträgen,Antizipation,enthusiasm,Swiss self -determination: the most important facts about international contracts
Kanada wagt das Cannabis-Experiment,Vertrauen,love,Canada dares the cannabis experiment
«Für mich ist jeder Kunde wie ein Gast»,Freude,happiness,"""For me, every customer is like a guest"""
Nationalrat nähert sich beim Datenschutz der EU an – Frage des Profilings noch ungelöst,Antizipation,enthusiasm,National Council is approaching the data protection of the EU - question of profiling is still unsolved
Die erneuerbaren Energien sind unaufhaltbar,Antizipation,enthusiasm,The renewable energies are unstoppable
Zeichen gegen fromme Querulanten,Vertrauen,love,Sign against pious troublemakers
Zürich: Alt-Kantonsrat fordert Pilotversuch für ein bedingungsloses Grundeinkommen,Freude,happiness,Zurich: Old cantonal council demands a pilot test for an unconditional basic income
Spaniens Fussballerinnen kämpfen für einen Mindestlohn und streiken,Ärger,anger,Spain's footballers fight for a minimum wage and strike
"Können sich SVP, FDP und CVP bei der AHV einigen? So könnte eine schlanke Reform aussehen",Antizipation,enthusiasm,"Can SVP, FDP and CVP agree on the AHV?So a slim reform could look"
Busse für Google wegen Street View,Angst,worry,Buses for Google because of Street View
Die Angst der Frauen vor der Aktie,Unklar,neutral,The fear of women about the stock
Staat in Australien verschärft Gesetz gegen Gesichtsschleier,Überraschung,surprise,State in Australia intensifies law against facial veils
Rassismuskommission lanciert Kampagne gegen Hass im Internet,Antizipation,enthusiasm,Racism Commission launches campaign against hate on the Internet
Zürcher Regierung verlangt ein Verhüllungsverbot,Unklar,neutral,Zurich government is demanding a ban on the change
ÖV-Mitarbeiter müssen künftig Gratis-GA versteuern,Antizipation,enthusiasm,ÖV employees will have to tax free GA in the future
Immer weniger Unfälle im öffentlichen Verkehr,Vertrauen,love,Fewer and fewer accidents in public transport
"Abschotten, einsperren, zurückweisen – was die deutsche Einigung für die europäische Migrationspolitik bedeutet",Antizipation,enthusiasm,"Cut down, lock, reject - which German agreement means for European migration policy"
USA ernten Kriti für Baumwoll-Subventionen,Ärger,anger,USA harvest Kriti for cotton subsidies
Das Gericht spricht eine Sterbehelferin vom Vorwurf der vorsätzlichen Tötung frei – es ist ein wegweisendes Urteil,Unklar,neutral,The court speaks a derometer of the accusation of intentional killing - it is a pioneering judgment
Sechs EU-Länder kündigen Strafmassnahmen gegen Google an,Ärger,anger,Six EU countries announce criminal measures against Google
Vegi-Boom hat Fleisch am Knochen,Antizipation,enthusiasm,Vegi boom has meat on the bone
Deutschland sagt Ja zur Homo-Ehe,Freude,happiness,Germany says yes to gay marriage
Aggressive Kleinkredit-Werbung wird verboten,Antizipation,enthusiasm,Aggressive small loan advertising is prohibited
WEF: Die Welt tanzt auf einem Schuldenberg,Angst,worry,WEF: The world dances on a debt mountain
Die Islam-Organisationen müssen sich selber hinterfragen,Antizipation,enthusiasm,The Islam organizations have to question themselves
Darüber ärgern sich Schweizer Touristen,Unklar,neutral,Swiss tourists are annoyed by this
Wo Verschwörungstheorien entscheidend sind für Trumps Erfolg,Ekel,hate,Where conspiracy theories are crucial for Trump's success
Kulturförderung: Erneut mehr Geld für die Giesskanne,Vertrauen,love,Culture promotion: again more money for the casting can
Neues Initiativprojekt: SNB-Gewinne zur AHV,Antizipation,enthusiasm,New initiative project: SNB profits for the AHV
Schutzgebiete werden einheitlich beschildert,Antizipation,enthusiasm,Protection areas are signposted uniformly
Schutzgebiete werden einheitlich beschildert,Vertrauen,love,Protection areas are signposted uniformly
Religionspolitik taugt nicht zur Integration,Antizipation,enthusiasm,Religious policy is not suitable for integration
Bund muss Leistungssport mit zusätzlichen 15 Millionen fördern,Vertrauen,love,BUND has to promote competitive sports with an additional 15 million
"Chemnitz und die Jagd, die keine war",Überraschung,surprise,Chemnitz and the hunt that was none
Asiens veganes Herz,Freude,happiness,Asia's vegan heart
Dürfen Schwule Kinder kriegen?,Traurigkeit,sadness,Can gay children get?
National- und Ständerat heissen Kulturförderpolitik gut,Unklar,neutral,National and Council of States are good for cultural funding policy
CVP-Nachwuchs kämpft für mehr Homo-Toleranz,Ärger,anger,CVP youngsters fight for more homo-tolerance
Trotz Anzeige kommen Beschuldigte ohne Urteil davon,Traurigkeit,sadness,"Despite the complaint, accused get away without judgment"
"Warum es gut ist, Spitäler zu schliessen",Ärger,anger,Why it is good to close hospitals
Technik passt sich dem Menschen an,Vertrauen,love,Technology adapts to man
Hoffnungsfroher Ausblick auf eine Zukunft im Zeichen der künstlichen Intelligenz,Freude,happiness,Hopeful view of a future in the sign of artificial intelligence
Diese Aktien machen high,Unklar,neutral,These shares make high
«Big Data ist ein Zauberwerkzeug für Überwachung»,Angst,worry,"""Big Data is a magic tool for surveillance"""
"Auch Musliminnen haben das Recht, nicht missbraucht zu werden",Unklar,neutral,Muslim women also have the right not to be misused
«Islamischen Zentralrat verbieten»,Unklar,neutral,"""Forbid Islamic Central Council"""
Eigenes Landesspital oder regionale Kooperation?,Antizipation,enthusiasm,Own state hospital or regional cooperation?
Cannabis soll auch in Holland illegal werden,Überraschung,surprise,Cannabis should also be illegal in Holland
Bundesrat hält nichts von Asylzentren ausserhalb Europas,Angst,worry,Federal Council does not believe in asylum centers outside of Europe
Gut gemeint ist noch nicht gut gemacht,Unklar,neutral,Well meant is not yet well done
Trumps Mexiko-Mauer im Fakten-Check,Überraschung,surprise,Trump's Mexico Wall in the Facts Check
Sind Doping-Tests bei Olympia manipulierbar?,Antizipation,enthusiasm,Can doping tests be manipulable at Olympics?
Luzern erhöht Steuern und setzt Rotstift an,Antizipation,enthusiasm,Lucerne increases taxes and uses red pencil
Impfung gefährlicher als Virus?,Angst,worry,Vaccination more dangerous than virus?
Warum eine höhere Mehrwertsteuer auf Fleisch weder dem Tierwohl noch der Umwelt dient,Antizipation,enthusiasm,Why a higher value added tax on meat does not serve animal welfare or the environment
Mit der Nagelschere im Dickicht der Subventionen,Ärger,anger,With the nail scissors in the thicket of the subsidies
Österreichs «Burkaverbot» untersagt jede Gesichtsverhüllung,Ärger,anger,Austria's “burqa ban” prohibits every face covering
«Auch die Schweiz kann nicht über ihre Verhältnisse leben»,Antizipation,enthusiasm,"""Switzerland cannot live about its circumstances either"""
Der Profi-Obdachlose,Vertrauen,love,The professional object
Niemand will den Atommüll,Antizipation,enthusiasm,
Papst ruft in Kairo  Religionen zu Kampf gegen Extremismus auf,Vertrauen,love,Pope calls religions in Cairo to fight extremism
Ex-Präsidentin Park Geun-hye in Handschellen abgeführt,Antizipation,enthusiasm,Ex-President Park Geun-Hye dissipated in handcuffs
Sind wir feige geworden?,Antizipation,enthusiasm,Did we become cowardly?
Wir arbeiten mehr gratis als für Geld,Überraschung,surprise,We work more free than for money
China zitiert Botschafter Kanadas nach Huawei-Festnahme zu sich,Ärger,anger,China quotes Ambassador of Canada after Huawei's festival
Das Urteil des Sportgerichtshofs gegen Caster Semenya ist eines voller Zweifel,Überraschung,surprise,The judgment of the sports court against Caster Semenya is one thing
Britische Werbeaufsicht: Ab 30 000 Followern gelten für Influencer dieselben Regeln wie für Prominente,Antizipation,enthusiasm,"British advertising supervision: The same rules apply to influencers from 30,000 followers as to celebrities"
«Den Kommunismus bei der Geburt erdrosseln» – die Intervention der Westmächte im russischen Bürgerkrieg war ein kapitaler Fehlschlag,Unklar,neutral,"""Communism strangled at birth"" - the intervention of the western powers in the Russian civil war was a capital failure"
Exit fordert Sterbehilfe auch für gesunde Alte,Unklar,neutral,Exit also demands euthanasia for healthy old people
Die Hemmschwelle sinkt,Unklar,neutral,The inhibition threshold sinks
Managerinnen schaffen es in der Schweiz selten ganz an die Spitze,Traurigkeit,sadness,Managers rarely make it to the top in Switzerland
Berset ist gegen fixes Rentenalter,Antizipation,enthusiasm,Berset is against fixed retirement age
Polen demonstrieren gegen strengere Abtreibungsgesetze,Überraschung,surprise,Poland demonstrate against stricter abortion laws
Aus Hochschul-Instituten werden wieder Wohnhäuser,Unklar,neutral,"From university institutes, residential buildings are again"
Die verhaftete Kronprinzessin und die grosse Angst vor Huawei,Antizipation,enthusiasm,The arrested crown princess and the great fear of Huawei
"Der Uno-Menschenrechtsrat: symbolisch wichtig, faktisch machtlos",Unklar,neutral,"The UN Human Rights Council: symbolically important, in fact powerless"
Einkaufstourismus auf ärztliches Rezept,Ärger,anger,Shopping tourism on a medical recipe
Bundesrat eröffnet Vernehmlassung zur künftigen Klimapolitik,Vertrauen,love,Federal Council opens up consultation on future climate policy
Seelenbalsam für besondere Kinder,Vertrauen,love,Soul balm for special children
SP sieht bei Einheitskasse langfristig grosses Sparpotenzial,Antizipation,enthusiasm,SP sees the long -term savings potential in the long term
Den Kitas hauts den Nuggi raus,Antizipation,enthusiasm,The daycare centers having the nuggi out
Die Ehe für alle ist unterwegs,Unklar,neutral,The marriage for everyone is on the way
«Bedingungsloses Grundeinkommen nicht die Lösung»,Antizipation,enthusiasm,"""Unconditional basic income is not the solution"""
Auf der Schlachtbank,Angst,worry,On the slaughterhouse
UBS warnt vor Negativzinsen für Sparer,Ärger,anger,UBS warns of negative interest rates for savers
Was ist in den Bitcoin gefahren?,Unklar,neutral,What did the Bitcoin go?
"Gesichtserkennung, DNA-Profil-Gesetz und Terrorismus: Der Schweizer Datenschutzbeauftragte benennt die aktuellen Herausforderungen",Antizipation,enthusiasm,"Face recognition, DNA profile law and terrorism: The Swiss data protection officer names the current challenges"
Die Deutschen und der Islam: Sie pendeln zwischen Verteufelung und Verherrlichung,Überraschung,surprise,The Germans and Islam: they commute between demonization and glorification
Lidl zahlt 100 Franken mehr Mindestlohn,Freude,happiness,Lidl pays 100 francs more minimum wages
