sentence_de,emotion_de,emotion_en,sentence_en
Trumps Regierung zieht sich aus Uno-Menschenrechtsrat zurück,Ärger,anger,
Obdachlosigkeit und ständige Staus: Im Silicon Valley sollen die grossen Tech-Firmen bei der Lösung der Probleme helfen,Ärger,anger,
"«Keine Nahrung mehr aufzunehmen, ist ein natürlicher Weg des Sterbens»",Vertrauen,love,
«Mediterrane Nächte»: Zürcher Restaurants sollen im Sommer im Freien bis nach Mitternacht wirten dürfen,Antizipation,enthusiasm,
Der deutsche Krampf mit dem Islam,Überraschung,surprise,
Wie wir für die kommenden Krisen gewappnet sein können – IKRK-Präsident Peter Maurer über die Zukunft der humanitären Nothilfe,Antizipation,enthusiasm,
Im Online-Handel sind nicht alle Kunden gleich,Ärger,anger,
"Schweizer werden bei der Rente gefragt, Russen nicht",Traurigkeit,sadness,
ETH Lausanne gehört zu den aufstrebenden Hochschulen,Freude,happiness,
Bundesverwaltung erreicht Zielwert bei Frauen in Spitzenpositionen,Freude,happiness,
App warnt Ärzte und Patienten vor falschen Medikamenten,Vertrauen,love,
EU-Einfluss sei Dank,Freude,happiness,
Negativzinsen – für wie lange noch?,Antizipation,enthusiasm,
So perfid wurde Hunziker von der Sekte kontrolliert,Traurigkeit,sadness,
Der Staat muss die Religionsfreiheit durchsetzen,Angst,worry,
Schweiz liegt bei erneuerbaren Energien im Mittelfeld,Vertrauen,love,
In der Schweiz werden mehr rassistische Zwischenfälle am Arbeitsplatz registriert,Traurigkeit,sadness,
Schweiz verhandelt in humanitären Fragen direkt mit Assad-Regime,Vertrauen,love,
Polizei jagte gezielt Diebe aus Nordafrika,Antizipation,enthusiasm,
Vegi-Boom hat Fleisch am Knochen,Freude,happiness,
Ein neuer Impfstoff-Skandal versetzt in China Konsumenten und Behörden in Aufruhr,Ekel,hate,
Auch die Schweiz steht am Pranger,Unklar,neutral,
"EU verhängt Rekordbusse von 4,34 Milliarden Euro gegen Google",Ärger,anger,
Ein EU-Gesetz mausert sich zum globalen Standard,Unklar,neutral,
Nur zwei der SMI-Unternehmen erfüllen die Frauenquote bereits jetzt,Antizipation,enthusiasm,
Angriff auf die AHV,Angst,worry,
Fliegen ist zu billig,Unklar,neutral,
Prekäre Altersvorsorge – ein höheres Rentenalter ist nicht länger tabu,Freude,happiness,
"Das Klima wandelt sich, und wir wandeln uns mit ihm: Ein anderer Blick auf Greta Thunbergs Aufruf zur Panik",Ärger,anger,
Detailhändler sollen Plastikmüll reduzieren,Unklar,neutral,
Weltweit verlieren viele den Glauben an die Demokratie,Unklar,neutral,
Die Befürworter des Geldspielgesetzes legen einen Fehlstart hin,Überraschung,surprise,
Proportionen in der Bankenregulierung wahren,Unklar,neutral,
«Ehe für alle» wird richtig kompliziert,Antizipation,enthusiasm,
Virtuelle Therapien helfen gegen Paranoia,Antizipation,enthusiasm,
"Schnell reich werden? Nichts einfacher als das, meinen die Befürworter von Vollgeld",Unklar,neutral,
Contra: Die Negativzinsen sind längst kontraproduktiv,Überraschung,surprise,
Trump setzt Huawei auf eine schwarze Liste,Unklar,neutral,
Die Fehler der Natur korrigieren,Antizipation,enthusiasm,
Fünf hartnäckige Legenden über die EU,Vertrauen,love,
IWF rät SNB zu stärkerem Fokus auf Negativzinsen,Freude,happiness,
"Der neue Bericht des Uno-Klimarats stellt sich der Frage, wie der Mensch in Zukunft leben kann. Die Antwort ist verworren",Traurigkeit,sadness,
Die Schuldenbremse in Deutschland einmotten? Dann brächen bei den Sozialausgaben die Dämme,Antizipation,enthusiasm,
Jagd auf Wolf soll wieder erlaubt werden,Antizipation,enthusiasm,
Betreuungsangebote für Kinder sollen billiger und besser werden,Vertrauen,love,
Gesundheitskosten: Statt noch mehr Regulierung braucht es richtige Anreize,Ärger,anger,
Schweiz ist bei erneuerbaren Energien und Energieeffizienz auf Kurs,Antizipation,enthusiasm,
Die Islam-Organisationen müssen sich selber hinterfragen,Unklar,neutral,
Bundesrat gegen schweizweite Liberalisierung der Öffnungszeiten,Antizipation,enthusiasm,
Nidwalden will den Atommüll-Fluch endlich loswerden,Antizipation,enthusiasm,
Gericht in Kenia stoppt Schliessung von grösstem Flüchtlingslager,Antizipation,enthusiasm,
Wanner will länger arbeiten lassen,Antizipation,enthusiasm,
Amerikanische Technologiekonzerne sperren Huawei aus,Überraschung,surprise,
Wolff erntet Kritik nach Massnahmen gegen Racial Profiling,Vertrauen,love,
Noch vor kurzem war die grüne Welle nicht mehr als ein Störfaktor für die SVP. Jetzt aber rät Christoph Blocher zum Angriff,Überraschung,surprise,
Finanzverwaltungs-Direktor Serge Gaillard ruft zum Masshalten auf,Vertrauen,love,
Nationalrat gegen Frauenquote auf Wahllisten,Ärger,anger,
Bleibt Deutschland sitzen?,Unklar,neutral,
Seit 2004 sind 27 Verwahrte freigekommen,Überraschung,surprise,
«So rettet man kein einziges Tier»,Antizipation,enthusiasm,
«Nie wieder Krieg!» Mit dieser Formel ist es nicht getan,Antizipation,enthusiasm,
Zürich führt Datenbank mit 5843 Prostituierten,Vertrauen,love,
UNEP: Bei «Weiter wie bisher»-Politik droht Klimakatastrophe,Angst,worry,
Wie viele Schritte habe ich schon gemacht?,Antizipation,enthusiasm,
Immer mehr junge Frauen werden Malerin und erleben die Nachteile eines typischen Frauenberufs,Überraschung,surprise,
Wenn ein Helikopter in den Gefängnishof fliegt,Angst,worry,
Eine Legislatur ganz nach dem Gusto der FDP,Vertrauen,love,
Luca Waldschmidt: Deutschlands veganer Bomber,Freude,happiness,
Angriff auf liberale Werte,Ärger,anger,
Das EU-Datenschutzgesetz spiegelt eine Scheinsicherheit,Ärger,anger,
Was die jüngsten Brexit-Entwicklungen für die Verhandlungen der Schweiz mit der EU bedeuten,Antizipation,enthusiasm,
Nehmen uns Roboter bald die Jobs weg?,Vertrauen,love,
Videogames machen nicht gewalttätig,Unklar,neutral,
Die letzte Chance für das Spital Affoltern,Traurigkeit,sadness,
Nationalrat nähert sich beim Datenschutz der EU an – Frage des Profilings noch ungelöst,Vertrauen,love,
Google macht Zusagen zur Shopping-Suche an EU-Wettbewerbshüter,Antizipation,enthusiasm,
Berset sieht in Reform der Altersvorsorge echten Kompromiss,Antizipation,enthusiasm,
Geht es in der Klimadebatte wirklich nur um Erkenntnis? Bekenntnisse eines Skeptikers,Überraschung,surprise,
Influencer – es geht um Vertrauen,Antizipation,enthusiasm,
Die Schweiz ist eine Umwelt-Musterschülerin – aber nur auf den ersten Blick,Antizipation,enthusiasm,
Sexuelle Belästigung: Das EU-Parlament hält sich den Spiegel vor,Ekel,hate,
Pauschaltarife wie das GA und die Autobahnvignette gehören abgeschafft,Überraschung,surprise,
Dieses autonome Auto kurvt bald durch unsere Städte,Überraschung,surprise,
Die Angst vor dem Islam,Antizipation,enthusiasm,
Weshalb die lebenslange Verwahrung im Fall Rupperswil fast ausgeschlossen ist,Überraschung,surprise,
Spitäler kaufen medizinische Produkte zu teuer ein,Ärger,anger,
Adoptions-Verbot für Homo-Paare bleibt,Traurigkeit,sadness,
Das neue CO2-Gesetz verliert an Biss,Vertrauen,love,
Schweiz propagiert Blockchain-Lösungen für Flüchtlinge,Vertrauen,love,
Rechtsstreit um Kita-Broschüre endet mit Sieg für Kritiker,Unklar,neutral,
Technik passt sich dem Menschen an,Freude,happiness,
Über 21 Millionen Vertriebene pro Jahr wegen Naturkatastrophen,Traurigkeit,sadness,
Eine Legislatur zum Vergessen für die SVP,Antizipation,enthusiasm,
Abgeordnetenhaus in Rom für Schuldenbremse,Antizipation,enthusiasm,
Schuldenbremse soll auf Sozialversicherungen ausgedehnt werden,Antizipation,enthusiasm,
Ein Sport ohne Dopingfall? Im Orientierungslauf wird nicht betrogen – offiziell,Überraschung,surprise,
«Wir müssen die Plastikflut rasch reduzieren»,Antizipation,enthusiasm,
Hätten Sie den jungen Steve Jobs angestellt?,Überraschung,surprise,
Eine Maklerin für Obdachlose,Traurigkeit,sadness,
"«Die SVP ist nicht bereit, bei der Altersvorsorge Verantwortung zu übernehmen»",Antizipation,enthusiasm,
"Negativzinsen sind problematisch, aber die SNB kann sie jetzt nicht einfach aufheben",Antizipation,enthusiasm,
Klimawandel – die drei Hebel eines Kleinstaats,Überraschung,surprise,
CVP-Delegierte sagen klar Ja zur Altersreform 2020,Antizipation,enthusiasm,
Das Klagen gegen die Negativzinsen wird globaler und lauter,Antizipation,enthusiasm,
Chinesischer Technologieriese Huawei trotz Gegenwind,Antizipation,enthusiasm,
Zeitungskommentatoren: Nur nichts überstürzen beim Atomausstieg,Vertrauen,love,
«Mexiko wird Bau von Mauer bezahlen»,Ärger,anger,
Die coolste Handy-Neuheit kommt aus China,Freude,happiness,
Kanton Luzern muss 2012 die Steuern erhöhen,Antizipation,enthusiasm,
Die Stadt Zürich baut die Kinderbetreuung weiter aus,Antizipation,enthusiasm,
Des Bischofs rechte Hand will die «Staatskirche» abschaffen – und verärgert viele Mitkatholiken,Ärger,anger,
SNB-Direktionsmitglied Maechler sieht keine Ende der Negativzinsen,Antizipation,enthusiasm,
Wer hat Angst vor ihr?,Antizipation,enthusiasm,
Der SVP-Fraktionspräsident auf Abwegen,Unklar,neutral,
"Das Klima wandelt sich, und wir wandeln uns mit ihm: Ein anderer Blick auf Greta Thunbergs Aufruf zur Panik",Antizipation,enthusiasm,
«Mediterrane Nächte»: Zürcher Restaurants sollen im Sommer im Freien bis nach Mitternacht wirten dürfen,Freude,happiness,
Bundesrat gegen Vaterschaftsurlaub,Vertrauen,love,
Kein Ausweg aus der Mami-Sackgasse,Traurigkeit,sadness,
Bei der Cybersicherheit wirkt die Peitsche mehr als das Zuckerbrot,Ärger,anger,
"Der Cannabis-Verkauf in Apotheken ist eine clevere Idee, um die Schweizer Drogenpolitik zu entstauben",Vertrauen,love,
Umfrage: Meiste Menschen in der Schweiz nehmen Klimawandel wahr,Überraschung,surprise,
Kuba nimmt Paragrafen zu Ehe für Alle nicht in neue Verfassung auf,Antizipation,enthusiasm,
Volvo ist beim tödlichen Uber-Unfall aus dem Schneider,Überraschung,surprise,
"«Der andere Blick»: Die Migration muss reguliert werden, wenn wir den Sozialstaat erhalten wollen",Vertrauen,love,
Wann fällt jetzt endlich die Heiratsstrafe?,Überraschung,surprise,
Ständerat möchte Krawalltourismus verbieten,Antizipation,enthusiasm,
Aufsichtsbehörde verordnet Mindestlohn im Postmarkt,Unklar,neutral,
Digitalisierung und Schule: Es braucht pragmatische Antworten statt Visionen,Vertrauen,love,
Verbraucher nehmen Influencern nicht alles ab,Überraschung,surprise,
Zwischen Google und Uber herrscht Krieg,Unklar,neutral,
Australien will CO2-Emissionen nur bescheiden senken,Überraschung,surprise,
Mexiko geht härter mit Migranten um,Angst,worry,
Bis spätabends ins kühle Nass: Weshalb die SP Zürich längere Badi-Öffnungszeiten fordert,Antizipation,enthusiasm,
Wird eine Zwischenlösung im Haushaltsstreit erreicht?,Unklar,neutral,
Spaniens Fussballerinnen kämpfen für einen Mindestlohn und streiken,Antizipation,enthusiasm,
Die neue Online-Kampagne der CVP schlägt ein wie eine Bombe,Unklar,neutral,
Google meldet zwei Milliarden aktive Android-Geräte,Unklar,neutral,
Letzte Chance für die Dublin-Reform,Antizipation,enthusiasm,
Die Zürcher «Lex Fifa» wird wohl scheitern,Überraschung,surprise,
Ein Fluss aus Plastik namens Rhein,Traurigkeit,sadness,
Kampf gegen Doping: Die Omertà im Radsport beginnt zu bröckeln,Überraschung,surprise,
Mehrheit gegen SVP-Initiative,Angst,worry,
Nobelpreisträger Werner Arber: «Ich glaube an die Schöpfung»,Überraschung,surprise,
Der Teufelskreis des Strafens: Wir strafen immer mehr – aber erreichen wir damit wirklich etwas?,Überraschung,surprise,
Natürlich gezeugt,Antizipation,enthusiasm,
Feuerwehr führt Buschfeuer in Bel Air auf Obdachlose zurück,Traurigkeit,sadness,
Die Strafrechtskeule macht die Welt nicht besser,Überraschung,surprise,
Verkürzte Veränderung,Antizipation,enthusiasm,
Die «stille» Umverteilung in der AHV: Sie wirkt de facto als Hochlohnsteuer,Überraschung,surprise,
Winterthur will mehr Kaderfrauen,Vertrauen,love,
Lieber Jobs als Zinsen!,Unklar,neutral,
Duma will US-Familien Adoption russischer Kinder verbieten,Angst,worry,
Vor dieser Firma fürchten sich die USA,Überraschung,surprise,
Studie: Städte profitieren von Zuwanderung aus der EU,Freude,happiness,
Die Lust am Verbot,Antizipation,enthusiasm,
Börse macht süchtig wie das Casino,Angst,worry,
"«Es war nicht meine Schuld, egal, wo ich war oder was ich anhatte. Der Vergewaltiger bist du!»: Ein choreografierter Protestsong gegen Gewalt gegen Frauen geht von Chile aus um die Welt",Unklar,neutral,
Bundesrat will keine neuen Regeln zu religiösen Symbolen,Unklar,neutral,
Wenn die Hölle auf Erden losbricht,Überraschung,surprise,
Contra Geldspielgesetz: Ein gigantischer Schwarzmarkt,Antizipation,enthusiasm,
Keine Subventionen für Viehexport,Antizipation,enthusiasm,
Eine violette Welle überrollt den 1. Mai in Zürich,Unklar,neutral,
Schweizer Selbstbestimmung: Die wichtigsten Fakten zu den internationalen Verträgen,Antizipation,enthusiasm,
Kanada wagt das Cannabis-Experiment,Vertrauen,love,
«Für mich ist jeder Kunde wie ein Gast»,Freude,happiness,
Nationalrat nähert sich beim Datenschutz der EU an – Frage des Profilings noch ungelöst,Antizipation,enthusiasm,
Die erneuerbaren Energien sind unaufhaltbar,Antizipation,enthusiasm,
Zeichen gegen fromme Querulanten,Vertrauen,love,
Zürich: Alt-Kantonsrat fordert Pilotversuch für ein bedingungsloses Grundeinkommen,Freude,happiness,
Spaniens Fussballerinnen kämpfen für einen Mindestlohn und streiken,Ärger,anger,
"Können sich SVP, FDP und CVP bei der AHV einigen? So könnte eine schlanke Reform aussehen",Antizipation,enthusiasm,
Busse für Google wegen Street View,Angst,worry,
Die Angst der Frauen vor der Aktie,Unklar,neutral,
Staat in Australien verschärft Gesetz gegen Gesichtsschleier,Überraschung,surprise,
Rassismuskommission lanciert Kampagne gegen Hass im Internet,Antizipation,enthusiasm,
Zürcher Regierung verlangt ein Verhüllungsverbot,Unklar,neutral,
ÖV-Mitarbeiter müssen künftig Gratis-GA versteuern,Antizipation,enthusiasm,
Immer weniger Unfälle im öffentlichen Verkehr,Vertrauen,love,
"Abschotten, einsperren, zurückweisen – was die deutsche Einigung für die europäische Migrationspolitik bedeutet",Antizipation,enthusiasm,
USA ernten Kriti für Baumwoll-Subventionen,Ärger,anger,
Das Gericht spricht eine Sterbehelferin vom Vorwurf der vorsätzlichen Tötung frei – es ist ein wegweisendes Urteil,Unklar,neutral,
Sechs EU-Länder kündigen Strafmassnahmen gegen Google an,Ärger,anger,
Vegi-Boom hat Fleisch am Knochen,Antizipation,enthusiasm,
Deutschland sagt Ja zur Homo-Ehe,Freude,happiness,
Aggressive Kleinkredit-Werbung wird verboten,Antizipation,enthusiasm,
WEF: Die Welt tanzt auf einem Schuldenberg,Angst,worry,
Die Islam-Organisationen müssen sich selber hinterfragen,Antizipation,enthusiasm,
Darüber ärgern sich Schweizer Touristen,Unklar,neutral,
Wo Verschwörungstheorien entscheidend sind für Trumps Erfolg,Ekel,hate,
Kulturförderung: Erneut mehr Geld für die Giesskanne,Vertrauen,love,
Neues Initiativprojekt: SNB-Gewinne zur AHV,Antizipation,enthusiasm,
Schutzgebiete werden einheitlich beschildert,Antizipation,enthusiasm,
Schutzgebiete werden einheitlich beschildert,Vertrauen,love,
Religionspolitik taugt nicht zur Integration,Antizipation,enthusiasm,
Bund muss Leistungssport mit zusätzlichen 15 Millionen fördern,Vertrauen,love,
"Chemnitz und die Jagd, die keine war",Überraschung,surprise,
Asiens veganes Herz,Freude,happiness,
Dürfen Schwule Kinder kriegen?,Traurigkeit,sadness,
National- und Ständerat heissen Kulturförderpolitik gut,Unklar,neutral,
CVP-Nachwuchs kämpft für mehr Homo-Toleranz,Ärger,anger,
Trotz Anzeige kommen Beschuldigte ohne Urteil davon,Traurigkeit,sadness,
"Warum es gut ist, Spitäler zu schliessen",Ärger,anger,
Technik passt sich dem Menschen an,Vertrauen,love,
Hoffnungsfroher Ausblick auf eine Zukunft im Zeichen der künstlichen Intelligenz,Freude,happiness,
Diese Aktien machen high,Unklar,neutral,
«Big Data ist ein Zauberwerkzeug für Überwachung»,Angst,worry,
"Auch Musliminnen haben das Recht, nicht missbraucht zu werden",Unklar,neutral,
«Islamischen Zentralrat verbieten»,Unklar,neutral,
Eigenes Landesspital oder regionale Kooperation?,Antizipation,enthusiasm,
Cannabis soll auch in Holland illegal werden,Überraschung,surprise,
Bundesrat hält nichts von Asylzentren ausserhalb Europas,Angst,worry,
Gut gemeint ist noch nicht gut gemacht,Unklar,neutral,
Trumps Mexiko-Mauer im Fakten-Check,Überraschung,surprise,
Sind Doping-Tests bei Olympia manipulierbar?,Antizipation,enthusiasm,
Luzern erhöht Steuern und setzt Rotstift an,Antizipation,enthusiasm,
Impfung gefährlicher als Virus?,Angst,worry,
Warum eine höhere Mehrwertsteuer auf Fleisch weder dem Tierwohl noch der Umwelt dient,Antizipation,enthusiasm,
Mit der Nagelschere im Dickicht der Subventionen,Ärger,anger,
Österreichs «Burkaverbot» untersagt jede Gesichtsverhüllung,Ärger,anger,
«Auch die Schweiz kann nicht über ihre Verhältnisse leben»,Antizipation,enthusiasm,
Der Profi-Obdachlose,Vertrauen,love,
Niemand will den Atommüll,Antizipation,enthusiasm,
Papst ruft in Kairo  Religionen zu Kampf gegen Extremismus auf,Vertrauen,love,
Ex-Präsidentin Park Geun-hye in Handschellen abgeführt,Antizipation,enthusiasm,
Sind wir feige geworden?,Antizipation,enthusiasm,
Wir arbeiten mehr gratis als für Geld,Überraschung,surprise,
China zitiert Botschafter Kanadas nach Huawei-Festnahme zu sich,Ärger,anger,
Das Urteil des Sportgerichtshofs gegen Caster Semenya ist eines voller Zweifel,Überraschung,surprise,
Britische Werbeaufsicht: Ab 30 000 Followern gelten für Influencer dieselben Regeln wie für Prominente,Antizipation,enthusiasm,
«Den Kommunismus bei der Geburt erdrosseln» – die Intervention der Westmächte im russischen Bürgerkrieg war ein kapitaler Fehlschlag,Unklar,neutral,
Exit fordert Sterbehilfe auch für gesunde Alte,Unklar,neutral,
Die Hemmschwelle sinkt,Unklar,neutral,
Managerinnen schaffen es in der Schweiz selten ganz an die Spitze,Traurigkeit,sadness,
Berset ist gegen fixes Rentenalter,Antizipation,enthusiasm,
Polen demonstrieren gegen strengere Abtreibungsgesetze,Überraschung,surprise,
Aus Hochschul-Instituten werden wieder Wohnhäuser,Unklar,neutral,
Die verhaftete Kronprinzessin und die grosse Angst vor Huawei,Antizipation,enthusiasm,
"Der Uno-Menschenrechtsrat: symbolisch wichtig, faktisch machtlos",Unklar,neutral,
Einkaufstourismus auf ärztliches Rezept,Ärger,anger,
Bundesrat eröffnet Vernehmlassung zur künftigen Klimapolitik,Vertrauen,love,
Seelenbalsam für besondere Kinder,Vertrauen,love,
SP sieht bei Einheitskasse langfristig grosses Sparpotenzial,Antizipation,enthusiasm,
Den Kitas hauts den Nuggi raus,Antizipation,enthusiasm,
Die Ehe für alle ist unterwegs,Unklar,neutral,
«Bedingungsloses Grundeinkommen nicht die Lösung»,Antizipation,enthusiasm,
Auf der Schlachtbank,Angst,worry,
UBS warnt vor Negativzinsen für Sparer,Ärger,anger,
Was ist in den Bitcoin gefahren?,Unklar,neutral,
"Gesichtserkennung, DNA-Profil-Gesetz und Terrorismus: Der Schweizer Datenschutzbeauftragte benennt die aktuellen Herausforderungen",Antizipation,enthusiasm,
Die Deutschen und der Islam: Sie pendeln zwischen Verteufelung und Verherrlichung,Überraschung,surprise,
Lidl zahlt 100 Franken mehr Mindestlohn,Freude,happiness,
Bischöfe fordern mehr Engagement gegen Klimawandel,Antizipation,enthusiasm,
Ein neues «Markt-Design» soll Probleme des Strommarktes beseitigen,Antizipation,enthusiasm,
Dynamische Preise haben Ärgerpotenzial,Unklar,neutral,
Referendum gegen Verlängerung der Ladenöffnungszeiten steht,Unklar,neutral,
So wechsle ich die Krankenkasse,Antizipation,enthusiasm,
Gegen die Religionsfeindlichkeit,Antizipation,enthusiasm,
Wirkungsvolle Massnahme zur Minderung des Plastiksäckli-Verbrauchs,Freude,happiness,
Wenn die Ausnahme zum Normalfall wird,Unklar,neutral,
Auch bei Google wird die Privatsphäre neuerdings grossgeschrieben,Freude,happiness,
Polens Regierung macht Politik auf dem Rücken eines Dreijährigen,Unklar,neutral,
Google räumt Versäumnisse bei Datenschutz ein,Antizipation,enthusiasm,
"Fussball, grün und vegan",Freude,happiness,
Und wieder einmal vollführt der Bitcoin Kurssprünge,Unklar,neutral,
Die Medikamente müssen beim Spitaleintritt genau überprüft werden,Unklar,neutral,
Wie wir für die kommenden Krisen gewappnet sein können – IKRK-Präsident Peter Maurer über die Zukunft der humanitären Nothilfe,Vertrauen,love,
IS-Rekruten haben keine Ahnung vom Islam,Antizipation,enthusiasm,
Wie viele Eltern kann das Kind eines lesbischen Ehepaares haben?,Antizipation,enthusiasm,
So leicht kommt sie nicht in den Knast,Überraschung,surprise,
EU will Google zerschlagen,Ärger,anger,
Jetzt müssen Gemeinden die Steuern erhöhen,Traurigkeit,sadness,
Tausende in USA demonstrieren für höheren Mindestlohn,Unklar,neutral,
Economiesuisse warnt vor Überregulierung,Vertrauen,love,
Schweizer Industrieunternehmen sehen Chancen durch Industrie 4.0,Überraschung,surprise,
Ein Abstecher in die düstere Welt der Sekten,Vertrauen,love,
"Mehr Steuern zahlen, um zu sparen",Unklar,neutral,
"Ein anderes Volk, bitte!",Antizipation,enthusiasm,
"Schweizer Gymnasien: Besser machen, was gut ist",Vertrauen,love,
Droht jetzt der 17-Stunden-Tag?,Ärger,anger,
Finanzdirektoren unterstützen die Steuervorlage 2017,Antizipation,enthusiasm,
Juncker beruft EU-Sondertreffen zu Flüchtlingskrise ein,Antizipation,enthusiasm,
«Historische» Gemeindeversammlung: Regensdorf spricht sich für die Surfanlage aus,Antizipation,enthusiasm,
Wichtiger Fingerzeig an die Richter,Unklar,neutral,
«Ohne Grundeinkommen wird es nicht gehen»,Antizipation,enthusiasm,
Die Strafverfolger haben weniger Telefonüberwachungen angeordnet,Antizipation,enthusiasm,
Rentenalter 67 auf Sterbebett,Antizipation,enthusiasm,
Startschuss für AHV-Ausbau,Unklar,neutral,
Wer trägt eigentlich die Verantwortung für den Klimawandel?,Antizipation,enthusiasm,
Schwein ist mein ganzes Herz,Ärger,anger,
Film- und Medienförderung: «Es geht nicht um eine Sonderstellung»,Unklar,neutral,
Wie viele Eltern kann das Kind eines lesbischen Ehepaares haben?,Überraschung,surprise,
Rassismus im Sport - Ein grosses Tabuthema,Traurigkeit,sadness,
«Computer machen weniger Fehler als Zöllner»,Vertrauen,love,
"EU verhängt Busse von 1,5 Milliarden Euro gegen Google",Ärger,anger,
Die Schweizer sind am fleissigsten – ein Mythos?,Überraschung,surprise,
Schule ist so stark vereinheitlicht wie nie zuvor,Vertrauen,love,
Was der Bundesrat bei der AHV-Vorlage verschweigt,Antizipation,enthusiasm,
Pfiffe im Letzi sind unnötig!,Vertrauen,love,
Google umgeht Datenschutz-Vorkehrungen für Apples iPhone und iPad,Ärger,anger,
Weniger als 2 Prozent der Proben sind positiv – wie schmutzig ist die Leichtathletik aber wirklich?,Antizipation,enthusiasm,
Zur Rose muss wachsen – und tut das auch,Überraschung,surprise,
Nach Ausländern sollen nun auch Teenager in der Stadt Zürich politisch mitreden dürfen,Überraschung,surprise,
Kanada – eine Grossmacht im Cannabis-Geschäft,Unklar,neutral,
"Zürcher Kirchen leisten mehr für die gesamte Gesellschaft, als sie vom Staat dafür erhalten",Vertrauen,love,
Winterthur will mehr Kaderfrauen,Antizipation,enthusiasm,
Die EU ist porös geworden,Angst,worry,
Jagdverbotsinitiative geht selbst SP und Grünen zu weit,Antizipation,enthusiasm,
Weihnachten für Politiker: Es winken bis zu 2 Milliarden Franken – dank einer Lockerung der Schuldenbremse,Antizipation,enthusiasm,
Hooligans töten 19-jähriges Talent des eigenen Klubs,Traurigkeit,sadness,
Zürcher Kulturpolitik: Es knorzt im Gebälk der Förderarchitektur,Überraschung,surprise,
Bedingungsloser Denkanstoss?,Antizipation,enthusiasm,
Kein Gratis-Lunch bei Google und Co.: Die Nutzer zahlen indirekt,Antizipation,enthusiasm,
Russische Anti-Doping-Agentur wird begnadigt,Antizipation,enthusiasm,
WEF: Die Welt tanzt auf einem Schuldenberg,Antizipation,enthusiasm,
Steuern für Lottomillionäre,Antizipation,enthusiasm,
Anstieg der ÖV-Tarife fällt dank Preisverhandlungen milder aus,Antizipation,enthusiasm,
Der Spiegel im Wasserglas,Angst,worry,
"In der Beiz, im Job, bei der Polizei",Traurigkeit,sadness,
Grippeimpfstoff von Novartis gefährlich?,Angst,worry,
Künstliche Intelligenz besser bei Hautkrebsdiagnose als Ärzte,Freude,happiness,
Schützt Grippe-Impfung Säugling?,Antizipation,enthusiasm,
Veganes Essen per Gesetz? Wie kleine Gruppen die Debatte um unser Essen zuspitzen,Unklar,neutral,
Wenn ein Helikopter in den Gefängnishof fliegt,Traurigkeit,sadness,
«Wir haben eine falsche Zuwanderung»,Antizipation,enthusiasm,
Sterbehilfe für eine Volksinitiative,Unklar,neutral,
Kanada wagt das Cannabis-Experiment,Freude,happiness,
"Ersetzen Google, Apple und Co den Nationalstaat?",Angst,worry,
Kanton Zürich bittet Kitas zur Kasse,Ärger,anger,
Papst prangert Abtreibungen als Auftragsmorde an,Unklar,neutral,
Die Menschheit muss ihre klimaschädlichen Emissionen vollständig eliminieren – doch CO2-Steuern sind dafür nicht das richtige Mittel,Antizipation,enthusiasm,
"Die Kirche kann gar nicht anders, als sich in die Politik einzumischen",Antizipation,enthusiasm,
Jetzt setzt auch die Politik auf Influencer,Antizipation,enthusiasm,
5 Folgen für die Schweiz,Angst,worry,
Google schwieg ein halbes Jahr über Datenpanne bei Online-Netzwerk,Ärger,anger,
Das Tessin ist dritter Kanton mit einem Mindestlohn,Überraschung,surprise,
Der kassenlose Laden kommt in die Schweiz –wird bald auch Gesichtserkennung eingesetzt?,Antizipation,enthusiasm,
«Time» kürt Frauen hinter #MeToo-Bewegung zur Person des Jahres,Unklar,neutral,
Haben Hacker das iPhone X geknackt?,Vertrauen,love,
Kritik am SF wegen Werbung im Kinderprogramm,Ärger,anger,
Die Wende schon am Ende!,Überraschung,surprise,
"Liebe Rentner, lebt nicht auf unsere Rechnung!",Unklar,neutral,
"Millionen Impfdosen werden auf dem Weg in abgelegene Regionen wirkungslos, weil die Kühlkette unterbrochen wird. Diese ETH-Forscher haben die Lösung",Antizipation,enthusiasm,
Big Brother wohnt in China,Vertrauen,love,
"Die stillen Motoren hinter Google, Facebook & Co.",Überraschung,surprise,
Wie nachhaltig kann ein Ölkonzern sein?,Vertrauen,love,
Ausländer sollen wählen dürfen!,Unklar,neutral,
Die obersten 5 Prozent zahlen zwei Drittel der direkten Bundessteuer,Antizipation,enthusiasm,
Statt ein Basiseinkommen will Finnland nun eine Sozialpauschale testen,Traurigkeit,sadness,
So sollten linke Initiativen aussehen,Antizipation,enthusiasm,
Nationalratskommission will Ehe für alle schrittweise regeln,Antizipation,enthusiasm,
"Böser Konvertit, guter Konvertit",Vertrauen,love,
Bundesgericht: Sollen Krankenkassen die Kosten für Geschlechtsanpassungen im Ausland übernehmen?,Unklar,neutral,
Ford testet den Effekt selbstfahrender Autos mit getarntem Fahrer,Antizipation,enthusiasm,
Ungarischer Zuhälter kommt um den Pranger herum,Ärger,anger,
Exportwachstum nur dank höherer Medikamentenpreise,Freude,happiness,
Fahrer automatisierter Fahrzeuge müssen mit Rechtsunsicherheit leben,Antizipation,enthusiasm,
